rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
164.0,Pompeu Fabra University,51.2,32.9,28.0,90.7,37.2,63.3,10901.0,18.3,0.13,2016
165.0,University of Reading,51.2,39.3,37.3,69.9,34.2,85.1,12050.0,14.8,0.28,2016
166.0,Yeshiva University,51.2,44.8,23.7,92.8,-,28.5,6753.0,5.5,0.07,2016
167.0,"University of California, Riverside",51.1,27.5,33.3,91.2,42.5,59.5,20626.0,22.0,0.12,2016
168.0,University of Leicester,51.1,32.1,27.8,86.0,31.7,86.6,14541.0,13.4,0.35,2016
169.0,National Taiwan University,51.1,54.1,58.0,47.3,49.6,27.7,31891.0,11.9,0.07,2016
170.0,Technical University of Denmark,51.1,37.3,29.9,77.8,50,85.1,9990.0,5.0,0.18,2016
171.0,Université Catholique de Louvain,51.1,38.7,40.6,68.4,51,74.2,28856.0,42.0,0.19,2016
172.0,University of Aberdeen,51.0,29.7,31.4,82.6,43.1,91.4,12938.0,15.8,0.33,2016
173.0,University of Auckland,51.0,31.4,39.5,69.8,78,90.5,29787.0,18.9,0.28,2016
174.0,University of Barcelona,50.9,38.5,37.4,78.9,31.1,49.2,47491.0,12.2,0.1,2016
175.0,University of Konstanz,50.8,38.5,46.7,61.9,92.4,58.3,10930.0,59.1,0.12,2016
176.0,Eindhoven University of Technology,50.6,34.3,41.0,70.7,57.3,71.3,8176.0,16.0,0.14,2016
177.0,University College Dublin,50.6,35.0,38.5,70.8,33.5,86.3,22193.0,24.5,0.23,2016
178.0,Hebrew University of Jerusalem,50.5,45.8,41.4,64.6,31.9,55.6,17612.0,10.7,0.05,2016
179.0,University of Waterloo,50.3,35.4,43.9,66.5,39.5,74.4,30726.0,24.2,0.14,2016
180.0,University of Gothenburg,50.2,28.5,39.8,81.8,30.3,58.3,26420.0,16.4,0.12,2016
181.0,Scuola Superiore Sant’Anna,50.2,42.5,23.2,84.5,71.2,45.2,769.0,8.5,0.17,2016
182.0,University of Bergen,50.1,32.5,31.5,82.4,36.2,70.0,11623.0,11.1,0.12,2016
183.0,Cardiff University,50.1,30.9,31.6,82.0,34.6,78.1,23347.0,13.1,0.23,2016
184.0,University of Utah,50.1,35.6,35.3,83.7,57.4,30.1,25674.0,16.9,0.09,2016
185.0,Brandeis University,49.9,28.3,25.7,97.3,38.6,47.0,5495.0,12.6,0.22,2016
186.0,University of Dundee,49.9,25.6,26.9,90.2,49.5,78.5,11628.0,15.3,0.25,2016
187.0,University of Würzburg,49.9,34.6,35.8,79.1,47.9,50.9,26576.0,38.4,0.08,2016
188.0,Paris-Sud University,49.8,38.7,29.0,79.8,28.8,64.2,27603.0,15.0,0.17,2016
189.0,Arizona State University,49.7,32.4,38.1,84.6,32,31.9,83236.0,29.9,0.09,2016
190.0,University of Antwerp,49.6,31.6,40.8,71.7,60.3,64.8,12346.0,30.3,0.16,2016
191.0,Boston College,49.6,34.1,29.3,83.3,46.8,60.0,13216.0,17.4,0.19,2016
192.0,Ulm University,49.5,35.2,23.9,86.4,58.4,58.2,9187.0,11.2,0.1,2016
193.0,University of Luxembourg,49.4,25.0,26.7,84.8,38.1,99.8,5144.0,15.9,0.52,2016
194.0,Texas A&M University,49.4,49.4,52.4,47.1,46.4,47.8,50657.0,21.4,0.09,2016
195.0,Charité - Universitätsmedizin Berlin,49.3,37.3,22.2,83.8,68.4,61.1,6853.0,6.6,0.16,2016
196.0,Newcastle University,49.2,30.9,27.5,81.5,34.7,84.3,20174.0,15.2,0.29,2016
197.0,"St George’s, University of London",49.2,25.6,18.1,100.0,37.7,69.5,2958.0,13.4,0.17,2016
198.0,University of Trento,49.1,30.8,27.4,87.7,47.1,55.9,16841.0,43.2,0.08,2016
199.0,Paris Diderot University – Paris 7,48.9,30.5,22.9,91.0,29,64.9,27756.0,14.8,0.17,2016
200.0,Queen’s University Belfast,48.8,34.1,33.3,68.9,35.7,93.4,17940.0,17.9,0.3,2016
201.0,Aalborg University,50.35,25.1,28.4,73.8,43.7,71.0,17422.0,15.9,0.15,2016
202.0,"Birkbeck, University of London",50.28,33.5,35.1,66.3,28.5,89.9,9454.0,17.2,0.38,2016
203.0,University of Bologna,50.22,39.3,29.5,73.0,34.5,39.9,85532.0,22.9,0.07,2016
204.0,University at Buffalo,50.16,36.5,37.9,62.0,43.8,60.6,25668.0,19.0,0.19,2016
205.0,University of Calgary,50.1,33.9,36.7,67.8,52,70.1,28341.0,16.5,0.17,2016
206.0,Chalmers University of Technology,50.04,36.6,35.3,52.2,79.5,77.6,8605.0,11.6,0.15,2016
207.0,City University of Hong Kong,49.98,32.1,26.7,76.8,50.1,81.6,10015.0,7.1,0.28,2016
208.0,Copenhagen Business School,49.92,19.3,26.5,79.4,35.3,88.5,18293.0,42.7,0.19,2016
209.0,Dalhousie University,49.86,30.4,29.4,65.2,50.3,78.3,15064.0,14.4,0.18,2016
210.0,University of Duisburg-Essen,49.81,32.3,27.0,81.3,82.3,48.5,36051.0,46.6,0.11,2016
211.0,École Normale Supérieure de Lyon,49.75,41.6,30.0,69.0,31.7,65.6,2218.0,8.0,0.14,2016
212.0,Florida State University,49.69,38.5,40.1,64.7,32,41.6,41226.0,31.8,0.07,2016
213.0,University of Fribourg,49.63,32.3,32.9,64.1,60.8,87.4,10416.0,46.9,0.19,2016
214.0,Fudan University,49.57,44.7,30.4,61.1,28,38.6,32175.0,12.2,0.11,2016
215.0,George Washington University,49.52,44.7,23.5,65.7,29.5,48.1,20541.0,12.0,0.16,2016
216.0,Goethe University Frankfurt,49.46,35.8,28.6,79.3,38.1,60.2,31861.0,9.3,0.15,2016
217.0,University of Hawai’i at Mānoa,49.4,32.0,35.5,67.7,44.7,63.4,,,,2016
218.0,Hong Kong Polytechnic University,49.34,29.3,35.2,63.3,45.1,79.0,22064.0,25.9,0.26,2016
219.0,University of Illinois at Chicago,49.29,40.9,29.2,63.2,38,58.1,24313.0,9.2,0.17,2016
220.0,Indiana University,49.23,43.0,27.3,74.8,-,41.2,62468.0,13.6,0.13,2016
221.0,University of Iowa,49.18,41.0,26.7,73.5,54.1,32.3,27526.0,11.6,0.11,2016
222.0,Johannes Gutenberg University of Mainz,49.12,34.9,21.7,72.6,70.7,53.3,35609.0,32.6,0.1,2016
223.0,Joseph Fourier University,49.07,34.2,21.6,83.2,31.6,58.6,16130.0,12.1,0.13,2016
224.0,University of Kiel,49.01,32.3,20.5,89.5,-,49.4,24444.0,23.8,0.08,2016
225.0,Laval University,48.95,37.5,31.7,62.2,57.5,63.8,27227.0,16.2,0.12,2016
226.0,Medical University of Vienna,48.9,26.6,14.6,89.1,33.9,81.7,7426.0,2.9,0.28,2016
227.0,Northeastern University,48.85,35.5,20.6,84.0,32.9,58.7,18539.0,15.1,0.26,2016
228.0,Oregon Health and Science University,48.79,27.8,15.7,96.0,44.6,21.4,2838.0,1.1,0.03,2016
229.0,University of Otago,48.74,30.7,30.5,74.9,31.5,89.9,18600.0,20.3,0.21,2016
230.0,University of Ottawa,48.68,37.1,36.7,61.5,41.5,69.9,36733.0,26.3,0.15,2016
231.0,Paris Descartes University,48.63,24.6,28.8,83.3,29,49.1,34691.0,26.9,0.15,2016
232.0,Peter the Great St Petersburg Polytechnic University,48.58,30.8,17.8,97.4,42.5,29.6,17155.0,7.2,0.08,2016
233.0,Polytechnic University of Milan,48.52,30.1,31.7,76.3,66.3,48.8,30025.0,22.2,0.12,2016
234.0,Royal Veterinary College,48.47,26.0,27.8,74.9,45.5,81.7,1819.0,10.9,0.18,2016
235.0,Rush University,48.42,37.7,17.4,88.9,45.4,21.8,1855.0,2.1,0.05,2016
236.0,Sapienza University of Rome,48.37,38.0,37.3,61.5,32.6,34.7,120986.0,32.3,0.07,2016
237.0,University of Science and Technology of China,48.31,46.7,36.6,67.2,80.3,21.4,14290.0,7.9,0.02,2016
238.0,University of South Florida,48.26,24.8,35.7,73.4,99.8,45.1,31424.0,21.5,0.1,2016
239.0,Stony Brook University,48.21,32.6,22.0,83.0,33.4,53.2,21908.0,10.9,0.24,2016
240.0,University of Stuttgart,48.16,40.0,44.5,55.7,99.8,52.7,24099.0,45.4,0.2,2016
241.0,Swedish University of Agricultural Sciences,48.11,31.5,32.8,68.1,99.9,40.1,3879.0,4.6,,2016
242.0,Technical University of Darmstadt,48.06,37.1,43.2,51.1,99.1,54.4,20300.0,53.6,0.18,2016
243.0,University of Technology Sydney,48.01,27.0,35.1,66.9,42.3,90.1,24519.0,44.1,0.31,2016
244.0,Tel Aviv University,47.96,41.0,50.5,49.2,42.9,47.5,23977.0,24.4,0.04,2016
245.0,University of Texas at Dallas,47.9,24.3,26.7,86.8,41.8,52.3,16306.0,22.8,0.23,2016
246.0,Tilburg University,47.85,34.1,47.1,51.5,57.4,71.6,7576.0,22.4,0.1,2016
247.0,Tohoku University,47.8,45.3,42.7,49.4,74.7,29.3,17200.0,5.0,0.07,2016
248.0,Tokyo Institute of Technology,47.75,45.6,47.6,42.2,70.9,31.9,9586.0,7.3,0.13,2016
249.0,University of Victoria,47.7,20.6,30.0,79.0,36.6,70.2,17581.0,21.5,0.11,2016
250.0,Wake Forest University,47.66,34.6,19.5,94.8,42.5,24.2,7326.0,4.6,0.05,2016
251.0,University of Western Ontario,47.61,38.6,32.4,59.0,59.7,73.6,27387.0,20.7,0.16,2016
252.0,William & Mary,47.56,38.5,17.5,85.0,29.1,26.6,7867.0,11.8,0.07,2016
253.0,University of the Witwatersrand,47.51,26.2,31.5,76.0,99.7,68.4,23321.0,18.6,0.09,2016
254.0,Aalto University,47.46,31.1,32.8,62.1,61.6,65.4,16099.0,24.2,0.17,2016
255.0,Aix-Marseille University,47.41,36.7,22.1,64.9,33.1,63.0,71749.0,45.5,0.13,2016
256.0,University of Bath,47.36,28.9,27.9,56.7,36.3,84.8,12830.0,18.8,0.3,2016
257.0,Bayreuth University,47.31,32.2,31.2,60.1,56.4,52.6,12520.0,35.5,0.08,2016
258.0,Bielefeld University,47.27,35.2,46.2,49.9,60.9,45.4,21428.0,67.8,0.08,2016
259.0,University of Bordeaux,47.22,25.3,22.0,71.7,30.6,54.6,51239.0,19.4,0.12,2016
260.0,Charles Darwin University,47.17,17.8,22.6,85.9,43.2,63.7,5570.0,25.4,0.15,2016
261.0,Colorado School of Mines,47.12,28.5,30.3,71.8,83.7,35.5,5287.0,18.2,0.12,2016
262.0,Colorado State University,47.08,31.6,33.0,59.3,41,34.5,26769.0,19.0,0.05,2016
263.0,University of Delaware,47.03,23.7,34.0,70.0,98.7,41.6,19262.0,15.9,0.1,2016
