rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
100,Korea Advanced Institute of Science and Technology (KAIST),9504,10.3,10%,62.0,64.1,66.5,59.3,100.0,38.0,2022
101,University of Bern,11556,16.6,16%,62.0,45.0,44.9,88.2,90.6,87.3,2022
102,University of Helsinki,22628,15.7,6%,62.0,44.3,56.9,88.5,37.8,57.3,2022
103,University of Basel,9440,12.3,30%,62.0,42.9,42.0,89.5,99.9,97.0,2022
104,Aarhus University,26521,13.6,9%,62.0,39.3,58.4,82.4,74.9,76.9,2022
105,University of Birmingham,31365,14.9,32%,62.0,40.3,45.2,93.3,40.6,91.7,2022
106,Nanjing University,37137,17.1,9%,62.0,54.9,54.6,74.0,86.8,56.6,2022
107,Purdue University West Lafayette,43411,16.6,21%,62.0,56.7,65.2,59.6,68.9,70.9,2022
108,University of Freiburg,21416,39.7,12%,61.0,47.1,51.8,82.2,97.2,61.4,2022
109,RWTH Aachen University,45628,55.5,25%,61.0,55.3,61.6,64.1,98.7,62.0,2022
110,University of Sheffield,27265,15.3,38%,61.0,45.5,46.4,86.3,48.8,87.8,2022
111,University of Adelaide,22061,30.6,32%,61.0,35.6,45.2,94.3,65.5,93.7,2022
112,University of Bonn,27743,49.8,16%,61.0,48.4,48.7,85.2,55.5,67.1,2022
113,National Taiwan University (NTU),24810,11.4,12%,61.0,55.8,64.7,64.8,75.4,46.9,2022
114,Vanderbilt University,12366,3.0,16%,61.0,48.6,43.8,94.1,56.9,48.7,2022
115,Vrije Universiteit Amsterdam,26593,18.6,14%,61.0,39.9,51.5,87.8,59.3,75.4,2022
116,Lund University,28498,11.2,19%,61.0,39.6,53.1,83.1,82.0,79.9,2022
117,Université Paris-Saclay,40884,12.7,19%,60.0,51.6,47.9,80.2,56.4,68.2,2022
118,Queen Mary University of London,19975,13.5,46%,60.0,33.7,41.6,98.1,42.7,97.1,2022
119,University of Göttingen,30610,26.6,14%,60.0,46.8,50.0,84.9,37.7,62.2,2022
120,University of Oslo,21413,13.2,19%,60.0,40.5,46.5,89.5,44.3,80.4,2022
121,Penn State (Main campus),46513,14.1,16%,60.0,49.3,60.3,75.3,40.7,47.5,2022
122,Lancaster University,13510,12.3,37%,60.0,38.6,40.9,93.9,36.4,94.6,2022
123,Sungkyunkwan University (SKKU),23104,19.2,19%,60.0,56.9,60.2,60.7,99.4,56.3,2022
124,University of Southampton,21815,14.1,36%,60.0,39.9,42.1,90.6,43.4,94.5,2022
125,University of Alberta,33475,21.9,28%,60.0,48.2,50.7,71.9,64.7,88.9,2022
126,Case Western Reserve University,10898,9.4,23%,59.0,47.6,41.7,91.9,41.7,53.8,2022
127,University of Leeds,33320,14.6,32%,59.0,43.7,46.5,81.1,39.8,90.3,2022
128,Maastricht University,18159,18.0,55%,59.0,39.8,50.0,76.1,84.6,98.1,2022
129,University of Virginia (Main campus),25377,9.0,13%,59.0,49.4,41.2,90.5,43.1,51.0,2022
130,Georgetown University,16703,8.6,20%,59.0,55.0,35.3,88.8,70.2,48.9,2022
131,Uppsala University,26917,16.5,17%,59.0,38.5,55.8,78.4,71.8,71.4,2022
132,Arizona State University (Tempe),48255,19.7,18%,59.0,46.3,49.2,80.9,38.5,62.8,2022
133,University of Hamburg,30953,59.8,13%,59.0,45.4,52.5,74.9,93.8,58.7,2022
134,The University of Western Australia,18683,21.3,30%,59.0,34.4,43.6,88.0,65.0,95.5,2022
135,Rice University,6885,9.2,28%,59.0,47.3,37.5,87.2,44.2,77.8,2022
136,University of Auckland,32983,22.7,32%,58.0,34.0,46.3,84.8,69.4,94.6,2022
137,University of Vienna,33852,38.3,29%,58.0,46.9,55.4,65.4,37.8,95.4,2022
138,Radboud University Nijmegen,21818,17.7,15%,58.0,35.5,50.4,85.9,44.4,74.8,2022
139,Technical University of Berlin,22118,55.0,27%,58.0,50.2,55.4,64.1,96.9,66.8,2022
140,University of Pittsburgh-Pittsburgh campus,26841,5.6,12%,58.0,45.6,42.3,91.7,42.6,43.6,2022
141,University of Nottingham,31360,14.8,30%,58.0,43.6,44.2,80.1,40.5,89.2,2022
142,University of Rochester,10177,6.7,36%,58.0,44.9,39.3,86.4,50.5,73.1,2022
143,University of Antwerp,15347,30.8,17%,58.0,35.4,47.0,85.4,85.7,70.6,2022
144,University of Exeter,22740,16.1,28%,58.0,33.9,39.3,93.5,37.5,91.6,2022
145,University of Technology Sydney,26955,39.6,37%,58.0,36.5,43.7,83.7,55.0,97.2,2022
146,University of Mannheim,7641,57.5,25%,58.0,43.0,50.5,76.6,60.7,67.5,2022
147,Newcastle University,24630,14.5,27%,58.0,34.1,39.8,92.8,42.3,87.5,2022
148,Trinity College Dublin,17495,21.2,32%,58.0,40.4,45.0,79.5,42.1,95.0,2022
149,Ulm University,10284,27.2,13%,58.0,39.8,38.6,92.4,85.7,56.9,2022
150,University of Arizona,39616,17.3,10%,58.0,46.6,48.0,82.4,50.5,41.4,2022
151,City University of Hong Kong,9506,10.7,56%,57.0,42.7,44.3,75.4,46.6,99.7,2022
152,University of Sussex,17405,17.6,37%,57.0,32.2,37.5,95.1,36.2,93.8,2022
