rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year
603,The University of Aizu,1165,0.11,0.05,42.19,26.26,21.4,41.7,36.0,68.3,2020
604,University of Alcalá,17793,0.13,0.18,42.17,26.24,21.38,43.2,42.5,59.0,2020
605,Amedeo Avogadro University of Eastern Piedmont,13447,0.36,0.06,42.15,26.22,21.35,66.2,35.1,41.8,2020
606,Amrita Vishwa Vidyapeetham,14689,0.12,0.12,42.13,26.2,21.32,47.7,82.5,46.2,2020
607,"University of the Andes, Colombia",15521,0.13,0.02,42.11,26.18,21.3,45.0,37.4,55.7,2020
608,Aristotle University of Thessaloniki,46505,0.27,0.05,42.1,26.16,21.27,64.3,41.3,41.2,2020
609,University of Arkansas,24754,0.2,0.05,42.08,26.14,21.24,37.0,39.4,30.9,2020
610,Auburn University,26641,0.19,0.09,42.06,26.11,21.22,43.3,40.2,43.8,2020
611,University of Aveiro,9774,0.17,0.12,42.04,26.09,21.19,40.7,41.4,52.5,2020
612,University of the Balearic Islands,11277,0.13,0.07,42.02,26.07,21.16,59.1,34.7,46.7,2020
613,Banaras Hindu University,14953,0.11,0.03,42.0,26.05,21.13,46.7,34.6,17.7,2020
614,University of the Basque Country,42485,0.15,0.04,41.99,26.03,21.11,47.3,37.1,41.5,2020
615,Baylor University,17078,0.16,0.06,41.97,26.01,21.08,53.9,35.3,33.2,2020
616,Beijing Institute of Technology,30608,0.13,0.08,41.95,25.99,21.05,32.7,98.1,24.3,2020
617,University of Beira Interior,7022,0.16,0.14,41.93,25.97,21.03,48.7,34.7,52.7,2020
618,Beni-Suef University,67981,0.25,0.01,41.91,25.95,21.0,60.8,34.4,45.9,2020
619,University of Bergamo,19022,0.57,0.07,41.89,25.93,20.98,59.3,40.9,36.6,2020
620,Boğaziçi University,13202,0.23,0.03,41.88,25.91,20.95,49.4,50.8,41.8,2020
621,University of Brighton,17155,0.18,0.21,41.86,25.89,20.92,43.4,35.1,75.6,2020
622,Ca’ Foscari University of Venice,15636,0.28,0.1,41.84,25.87,20.9,36.5,37.1,53.9,2020
623,Cairo University,223275,0.41,0.02,41.82,25.85,20.87,51.5,35.4,35.3,2020
624,University of Calabria,27403,0.33,0.02,41.8,25.83,20.84,59.8,87.9,38.3,2020
625,University of Central Florida,56228,0.35,0.04,41.78,25.81,20.82,49.7,42.6,32.9,2020
626,Central Queensland University,14701,0.21,0.31,41.77,25.79,20.79,50.2,36.4,60.4,2020
627,Chemnitz University of Technology,10473,0.46,0.24,41.75,25.77,20.76,26.8,67.8,53.6,2020
628,China Agricultural University,19586,0.12,0.01,41.73,25.75,20.74,40.7,52.2,22.0,2020
629,"China University of Petroleum, Beijing",15150,0.19,0.04,41.71,25.73,20.71,39.2,88.0,21.7,2020
630,Clemson University,21436,0.17,0.07,41.69,25.71,20.69,43.0,40.1,39.2,2020
631,University of Clermont Auvergne,34644,0.19,0.13,41.68,25.69,20.66,57.0,38.0,61.8,2020
632,University of Coimbra,21404,0.18,0.19,41.66,25.67,20.63,47.4,41.0,58.7,2020
633,COMSATS University Islamabad,33030,0.11,0.01,41.64,25.65,20.61,65.5,34.5,45.7,2020
634,Concordia University,33543,0.32,0.29,41.62,25.63,20.58,46.0,36.9,82.5,2020
635,University of Costa Rica,33900,0.15,0.02,41.61,25.61,20.56,77.1,34.4,48.2,2020
636,Coventry University,27531,0.16,0.46,41.59,25.59,20.53,44.1,34.7,89.3,2020
637,Creighton University,8228,0.11,0.08,41.57,25.57,20.51,41.5,35.7,29.8,2020
638,Dalian University of Technology,39665,0.16,0.03,41.55,25.55,20.48,40.2,77.1,28.5,2020
639,University of Delhi,24547,0.23,0.01,41.53,25.53,20.45,42.8,34.5,17.3,2020
640,De Montfort University,19093,0.2,0.27,41.52,25.51,20.43,50.4,34.6,75.6,2020
641,Dublin City University,12619,0.24,0.1,41.5,25.49,20.4,49.7,42.8,71.8,2020
642,East China University of Science and Technology,25519,0.16,0.02,41.48,25.47,20.38,44.0,56.1,17.9,2020
643,École Centrale de Lyon,1998,0.16,0.24,41.46,25.45,20.35,23.6,59.7,67.2,2020
644,École normale supérieure Paris-Saclay,1869,0.13,0.14,41.45,25.44,20.33,27.7,51.1,55.3,2020
645,University of Electronic Science and Technology of China,33242,0.16,0.04,41.43,25.42,20.3,55.1,71.8,28.8,2020
646,Eötvös Loránd University,26105,0.17,0.09,41.41,25.4,20.28,48.2,35.1,52.6,2020
647,Ewha Womans University,14510,0.17,0.15,41.39,25.38,20.25,31.4,69.9,46.7,2020
648,Federal University of Minas Gerais,43899,0.13,0.02,41.38,25.36,20.23,52.0,38.8,29.6,2020
649,Federal University of Rio Grande do Sul,52579,0.19,0.01,41.36,25.34,20.2,49.3,46.5,26.3,2020
650,Federal University of Santa Catarina,38719,0.17,0.02,41.34,25.32,20.17,52.6,38.7,29.4,2020
651,Federal University of São Paulo (UNIFESP),14572,0.09,0.01,41.32,25.3,20.15,43.3,35.7,28.6,2020
652,Ferhat Abbas Sétif University 1,34002,0.23,0.01,41.31,25.28,20.12,73.0,34.4,41.8,2020
653,University of Girona,13906,0.19,0.14,41.29,25.26,20.1,57.6,37.4,53.9,2020
654,Glasgow Caledonian University,12637,0.2,0.17,41.27,25.24,20.07,56.2,35.2,61.1,2020
655,University of Granada,56044,0.15,0.1,41.26,25.22,20.05,52.0,35.6,48.1,2020
656,University of Greenwich,14477,0.18,0.36,41.24,25.2,20.02,39.5,35.4,89.4,2020
657,University of Hertfordshire,17584,0.18,0.28,41.22,25.19,20.0,42.7,35.3,80.1,2020
658,Hiroshima University,15077,0.09,0.1,41.2,25.17,19.97,31.5,49.9,33.7,2020
659,Huazhong Agricultural University,25956,0.17,0.02,41.19,25.15,19.95,49.7,43.1,22.5,2020
660,University of Huddersfield,14483,0.21,0.24,41.17,25.13,19.92,44.8,36.6,72.0,2020
661,IDC Herzliya,6908,0.47,0.24,41.15,25.11,19.9,62.6,34.4,63.2,2020
662,Imam Khomeini International University,8330,0.29,0.07,41.14,25.09,19.88,78.0,34.7,20.7,2020
663,"Indian Institute of Science Education and Research, Pune",1274,0.1,0.0,41.12,25.07,19.85,54.1,35.1,21.5,2020
664,Indian Institute of Technology Bhubaneswar,1237,0.11,0.0,41.1,25.05,19.83,52.9,35.8,17.1,2020
665,Indian Institute of Technology Guwahati,5699,0.14,0.01,41.08,25.03,19.8,37.2,41.0,15.3,2020
666,Indian Institute of Technology Hyderabad,2088,0.12,0.0,41.07,25.01,19.78,52.4,39.4,17.7,2020
667,Indian Institute of Technology Kanpur,6860,0.14,0.0,41.05,25.0,19.75,35.2,94.3,18.8,2020
668,Indian Institute of Technology Madras,9241,0.16,0.01,41.03,24.98,19.73,25.4,80.0,19.3,2020
669,University of Indonesia,41170,0.1,0.11,41.02,24.96,19.7,16.7,81.6,53.7,2020
670,University of International Business and Economics,15775,0.17,0.18,41.0,24.94,19.68,35.2,35.7,61.5,2020
671,University of Ioannina,21902,0.44,0.03,40.98,24.92,19.65,60.2,37.3,43.4,2020
672,Iran University of Medical Sciences,8673,0.09,0.03,40.97,24.9,19.63,52.6,43.4,20.7,2020
673,Iran University of Science and Technology,13273,0.32,0.01,40.95,24.88,19.61,42.6,96.3,16.8,2020
674,ISCTE-University Institute of Lisbon,8898,0.24,0.12,40.93,24.87,19.58,29.3,39.8,49.3,2020
675,Isfahan University of Technology,10064,0.21,0.01,40.92,24.85,19.56,41.7,85.5,22.6,2020
676,Istanbul Technical University,34825,0.23,0.04,40.9,24.83,19.53,30.2,100.0,26.8,2020
677,Jagiellonian University,40608,0.11,0.09,40.88,24.81,19.51,61.4,35.3,37.7,2020
678,Jamia Millia Islamia,10653,0.1,0.03,40.87,24.79,19.48,47.6,35.2,24.9,2020
679,Jaume I University,12182,0.16,0.09,40.85,24.77,19.46,49.6,37.5,43.5,2020
680,Jawaharlal Nehru University,7938,0.14,0.04,40.83,24.75,19.44,26.6,43.0,19.3,2020
681,Jiangsu Normal University,21455,0.14,0.02,40.82,24.74,19.41,60.7,39.7,23.2,2020
682,Jikei University School of Medicine,1078,0.01,0.01,40.8,24.72,19.39,51.4,38.3,15.9,2020
683,University of Johannesburg,26445,0.24,0.15,40.78,24.7,19.36,42.5,40.4,69.2,2020
684,Johannes Kepler University of Linz,6122,0.11,0.11,40.77,24.68,19.34,46.8,54.1,64.4,2020
685,Kafrelsheikh University,74546,0.4,0.01,40.75,24.66,19.32,67.4,38.0,47.1,2020
686,University of Kaiserslautern,14869,0.52,0.18,40.73,24.64,19.29,41.3,64.5,52.3,2020
687,Kansas State University,21536,0.14,0.09,40.72,24.63,19.27,45.8,41.9,47.2,2020
688,Kazan Federal University,26670,0.11,0.13,40.7,24.61,19.24,47.8,40.0,42.6,2020
689,Universiti Kebangsaan Malaysia,17180,0.1,0.15,40.68,24.59,19.22,32.3,37.1,52.9,2020
690,Keio University,34916,0.1,0.08,40.67,24.57,19.2,36.8,42.7,31.5,2020
691,Kent State University,24559,0.2,0.09,40.65,24.55,19.17,55.6,34.8,42.6,2020
692,Kindai University,33125,0.14,0.02,40.63,24.54,19.15,58.4,38.8,23.0,2020
693,King Khalid University,38865,0.08,0.11,40.62,24.52,19.13,53.6,34.5,82.7,2020
694,Kobe University,15593,0.1,0.07,40.6,24.5,19.1,31.1,44.3,28.7,2020
695,Konkuk University,12225,0.23,0.16,40.59,24.48,19.08,27.5,44.3,47.7,2020
696,Kurume University,4850,0.07,0.02,40.57,24.46,19.05,54.5,36.5,21.0,2020
697,Lakehead University,8050,0.25,0.13,40.55,24.44,19.03,46.9,37.3,49.4,2020
698,University of La Laguna,18336,0.13,0.04,40.54,24.43,19.01,67.8,35.2,46.9,2020
699,Lehigh University,6462,0.11,0.17,40.52,24.41,18.98,51.0,40.3,45.1,2020
700,University of Leoben,3074,0.06,0.15,40.5,24.39,18.96,35.6,56.2,70.2,2020
701,University of Lille,69287,0.29,0.13,40.49,24.37,18.94,53.0,39.0,60.7,2020
702,University of Lincoln,12060,0.15,0.13,40.47,24.36,18.91,64.3,35.3,71.2,2020
703,University of Ljubljana,40110,0.15,0.06,40.46,24.34,18.89,44.8,39.7,42.3,2020
704,University of Lleida,8595,0.15,0.08,40.44,24.32,18.87,48.8,37.8,41.6,2020
705,University of Lorraine,58678,0.19,0.16,40.42,24.3,18.84,61.3,37.3,61.6,2020
706,"Lumière University, Lyon 2",25134,0.51,0.19,40.41,24.28,18.82,29.0,34.7,62.4,2020
707,Mae Fah Luang University,13534,0.22,0.04,40.39,24.27,18.8,74.4,34.5,50.6,2020
708,Mahidol University,28476,0.1,0.04,40.38,24.25,18.77,45.2,73.4,46.1,2020
709,Makerere University,34651,0.24,0.08,40.36,24.23,18.75,69.6,40.9,58.7,2020
710,Universiti Malaysia Perlis,12154,0.17,0.05,40.34,24.21,18.73,62.4,35.7,28.0,2020
711,University of Malta,11772,0.13,0.09,40.33,24.2,18.71,48.1,34.7,57.9,2020
712,Manchester Metropolitan University,28146,0.15,0.16,40.31,24.18,18.68,55.4,34.8,65.3,2020
713,"University of Maryland, Baltimore County",11667,0.18,0.08,40.3,24.16,18.66,57.8,35.7,34.3,2020
714,Masaryk University,31611,0.2,0.21,40.28,24.14,18.64,36.3,35.6,61.5,2020
715,Metropolitan Autonomous University,57827,0.2,0.0,40.27,24.13,18.61,68.6,36.4,25.1,2020
716,Middle East Technical University,27455,0.32,0.06,40.25,24.11,18.59,30.7,62.1,30.4,2020
717,Miguel Hernández University of Elche,13591,0.2,0.05,40.23,24.09,18.57,45.4,38.0,34.2,2020
718,University of Minho,18066,0.18,0.1,40.22,24.07,18.54,34.6,62.6,50.3,2020
719,Montana State University,14357,0.19,0.03,40.2,24.06,18.52,67.0,48.4,28.4,2020
720,Monterrey Institute of Technology,14343,0.16,0.11,40.19,24.04,18.5,41.8,74.7,57.3,2020
721,Nanjing University of Information Science and Technology,21857,0.16,0.03,40.17,24.02,18.48,69.9,38.9,29.5,2020
722,Nanjing Medical University,15420,0.09,0.05,40.16,24.0,18.45,36.0,35.8,20.8,2020
723,Nanjing Normal University,27490,0.13,0.03,40.14,23.99,18.43,54.4,47.5,22.9,2020
724,University of Nantes,37078,0.25,0.11,40.12,23.97,18.41,57.4,39.5,50.4,2020
725,National Autonomous University of Mexico,161718,0.17,0.08,40.11,23.95,18.39,18.9,61.7,44.2,2020
726,National Cheng Kung University (NCKU),20663,0.14,0.13,40.09,23.93,18.36,22.9,99.8,36.3,2020
727,National Institute of Applied Sciences of Lyon (INSA Lyon),6173,0.2,0.28,40.08,23.92,18.34,33.7,91.3,71.7,2020
728,National University of Science and Technology (MISiS),7090,0.11,0.26,40.06,23.9,18.32,29.1,84.2,68.9,2020
729,National Taiwan Normal University,10789,0.12,0.24,40.05,23.88,18.3,22.8,78.4,51.4,2020
730,National Technical University of Athens,14133,0.21,0.08,40.03,23.87,18.27,45.0,71.5,38.6,2020
731,"University of Nevada, Las Vegas",24982,0.23,0.05,40.02,23.85,18.25,41.3,35.1,32.2,2020
732,New Mexico State University (Main campus),12753,0.17,0.08,40.0,23.83,18.23,53.9,38.8,37.7,2020
733,Nippon Medical School,850,0.01,0.0,39.98,23.81,18.21,55.1,34.8,16.9,2020
734,University of North Carolina at Greensboro,18999,0.22,0.04,39.97,23.8,18.18,50.0,35.4,21.3,2020
735,Northwestern Polytechnical University,28432,0.14,0.04,39.95,23.78,18.16,40.2,83.3,24.7,2020
736,Nottingham Trent University,24140,0.15,0.19,39.94,23.76,18.14,59.5,34.9,69.0,2020
737,NOVA University of Lisbon,19694,0.18,0.17,39.92,23.75,18.12,46.6,46.7,60.2,2020
738,Ohio University (Main campus),25013,0.22,0.05,39.91,23.73,18.09,43.5,35.4,30.6,2020
739,Old Dominion University,18878,0.18,0.03,39.89,23.71,18.07,51.9,34.4,30.4,2020
740,University of Oviedo,21663,0.13,0.03,39.88,23.7,18.05,54.8,38.5,34.4,2020
741,Oxford Brookes University,13915,0.16,0.28,39.86,23.68,18.03,37.4,34.6,78.4,2020
742,Palacký University Olomouc,17443,0.14,0.12,39.85,23.66,18.01,46.9,35.4,57.3,2020
743,University of Palermo,29437,0.21,0.01,39.83,23.64,17.98,63.0,35.0,27.3,2020
744,Panjab University,19912,0.23,0.01,39.82,23.63,17.96,56.6,34.9,16.5,2020
745,Panthéon-Sorbonne University – Paris 1,33883,0.26,0.21,39.8,23.61,17.94,11.2,34.8,57.3,2020
746,University of Parma,25140,0.27,0.06,39.79,23.59,17.92,65.7,39.4,38.1,2020
747,Polytechnic University of Catalonia,25484,0.11,0.16,39.77,23.58,17.9,56.9,41.2,59.1,2020
748,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),15581,0.22,0.05,39.76,23.56,17.87,27.9,99.5,41.5,2020
749,Portland State University,20219,0.18,0.09,39.74,23.54,17.85,44.6,35.7,30.4,2020
750,University of Pretoria,35086,0.22,0.08,39.73,23.53,17.83,33.0,41.8,52.0,2020
751,Pusan National University,24331,0.18,0.11,39.71,23.51,17.81,24.9,63.4,35.7,2020
752,Universiti Putra Malaysia,20018,0.12,0.23,39.7,23.49,17.79,19.1,41.3,69.5,2020
753,Université du Québec,52994,0.2,0.11,39.68,23.48,17.76,39.1,42.1,67.2,2020
754,University of Regina,12935,0.23,0.22,39.67,23.46,17.74,45.1,35.8,63.0,2020
755,University of Rennes 1,28351,0.18,0.12,39.65,23.44,17.72,50.9,36.9,55.9,2020
756,Roskilde University,6382,0.18,0.12,39.64,23.43,17.7,37.8,38.2,52.1,2020
757,Ryerson University,33694,0.43,0.04,39.62,23.41,17.68,38.6,36.2,52.4,2020
758,Universiti Sains Malaysia,20908,0.11,0.15,39.61,23.39,17.66,26.7,45.7,52.8,2020
759,Saint Petersburg State University,21489,0.07,0.12,39.59,23.38,17.63,19.7,36.4,39.3,2020
760,University of Salamanca,28673,0.18,0.16,39.58,23.36,17.61,37.9,37.0,51.4,2020
761,University of Salento,12040,0.3,0.01,39.56,23.34,17.59,56.3,36.8,26.9,2020
762,University of Santiago de Compostela,25455,0.15,0.08,39.55,23.33,17.57,46.9,40.3,44.7,2020
763,University of Sassari,12993,0.24,0.02,39.53,23.31,17.55,47.8,36.4,36.6,2020
764,Savitribai Phule Pune University,6056,0.13,0.02,39.52,23.3,17.53,46.6,36.1,17.5,2020
765,Shahid Beheshti University of Medical Sciences,12713,0.09,0.02,39.5,23.28,17.51,37.3,64.0,17.2,2020
766,Shandong University,45767,0.15,0.07,39.49,23.26,17.48,35.4,72.3,30.6,2020
767,University of Sharjah,14286,0.21,0.6,39.47,23.25,17.46,38.8,38.3,99.1,2020
768,Université de Sherbrooke,15667,0.13,0.07,39.46,23.23,17.44,51.0,38.1,58.5,2020
769,Shiraz University of Technology,1602,0.16,0.0,39.44,23.21,17.42,46.6,47.9,16.7,2020
770,Sichuan University,64648,0.14,0.04,39.43,23.2,17.4,38.3,63.8,25.3,2020
771,Sidi Mohamed Ben Abdellah University,90736,0.57,0.02,39.41,23.18,17.38,53.2,34.4,23.6,2020
772,University of South Dakota,14542,0.35,0.03,39.4,23.16,17.36,46.8,39.0,25.3,2020
773,Southern Cross University,9064,0.25,0.25,39.38,23.15,17.34,49.7,39.8,66.6,2020
774,University of Southern Queensland,12405,0.26,0.15,39.37,23.13,17.31,54.9,37.4,72.6,2020
775,University of Split,20043,0.23,0.02,39.36,23.12,17.29,56.8,40.1,41.3,2020
776,Stevens Institute of Technology,5943,0.17,0.38,39.34,23.1,17.27,58.4,35.6,68.7,2020
777,University of the Sunshine Coast,9720,0.31,0.17,39.33,23.08,17.25,46.0,40.3,68.6,2020
778,University of Tabriz,20360,0.26,0.0,39.31,23.07,17.23,42.2,42.9,19.5,2020
779,Tabriz University of Medical Sciences,8047,0.1,0.0,39.3,23.05,17.21,36.7,34.5,15.9,2020
780,University of Technology of Compiègne,4229,0.15,0.23,39.28,23.04,17.19,37.2,42.6,82.4,2020
781,University of Tehran,53614,0.25,0.02,39.27,23.02,17.17,38.7,34.4,23.3,2020
782,Universiti Teknologi Malaysia,19087,0.11,0.14,39.25,23.0,17.15,29.2,35.6,56.4,2020
783,Universiti Teknologi Petronas,6212,0.16,0.17,39.24,22.99,17.12,26.8,78.2,66.0,2020
784,University of Texas at Arlington,28835,0.25,0.15,39.22,22.97,17.1,50.0,39.7,46.0,2020
785,Texas Tech University,33015,0.21,0.09,39.21,22.96,17.08,46.5,36.2,48.4,2020
786,Thapar University,7752,0.15,0.01,39.2,22.94,17.06,66.5,36.0,20.9,2020
787,University of Thessaly,17004,0.39,0.04,39.18,22.92,17.04,48.7,42.8,39.1,2020
788,Tokyo Metropolitan University,9160,0.14,0.05,39.17,22.91,17.02,54.6,38.4,26.2,2020
789,University of Toledo,18587,0.16,0.11,39.15,22.89,17.0,48.7,42.8,46.2,2020
790,Tomsk Polytechnic University,9121,0.09,0.28,39.14,22.88,16.98,35.7,60.7,54.4,2020
791,University of Tours,27285,0.21,0.11,39.12,22.86,16.96,48.5,35.7,48.8,2020
792,TU Braunschweig,20020,0.1,0.14,39.11,22.84,16.94,48.9,42.6,53.7,2020
793,University of Ulsan,12730,0.12,0.03,39.1,22.83,16.92,61.8,58.2,21.7,2020
794,Ulster University,17817,0.17,0.08,39.08,22.81,16.9,40.9,35.6,75.7,2020
795,University of Warsaw,50484,0.14,0.1,39.07,22.8,16.88,41.4,35.1,45.6,2020
796,Waseda University,48839,0.14,0.1,39.05,22.78,16.86,28.2,38.1,38.0,2020
797,University of the West of England,21737,0.18,0.21,39.04,22.77,16.83,48.4,34.9,64.3,2020
798,University of the Western Cape,21999,0.31,0.08,39.02,22.75,16.81,60.3,34.4,62.1,2020
799,Western Washington University,13726,0.18,0.01,39.01,22.73,16.79,62.2,34.5,22.9,2020
800,University of Westminster,16401,0.17,0.46,39.0,22.72,16.77,36.7,34.8,86.7,2020
801,West Virginia University,25966,0.19,0.08,38.98,22.7,16.75,59.3,34.4,40.8,2020
802,University of Windsor,13140,0.29,0.23,38.97,22.69,16.73,33.5,36.8,79.9,2020
803,Worcester Polytechnic Institute,5733,0.13,0.22,38.95,22.67,16.71,59.1,36.5,56.2,2020
804,Acharya Nagarjuna University,4792,0.13,0.06,38.94,22.66,16.69,15.7,41.8,23.5,2020
805,University of A Coruña,14962,0.11,0.03,38.93,22.64,16.67,32.5,36.3,31.6,2020
806,"Adam Mickiewicz University, Poznań",37634,0.14,0.02,38.91,22.63,16.65,32.7,35.4,32.7,2020
807,University of the Aegean,13040,0.41,0.01,38.9,22.61,16.63,44.3,37.0,37.5,2020
808,"University of Agriculture, Faisalabad",24440,0.35,0.0,38.88,22.59,16.61,28.6,41.9,36.6,2020
809,Aichi Medical University,1288,0.03,0.01,38.87,22.58,16.59,32.4,34.4,17.4,2020
810,Ain Shams University,179636,0.17,0.03,38.86,22.56,16.57,31.5,35.6,36.0,2020
811,Ajou University,9906,0.11,0.07,38.84,22.55,16.55,29.8,60.9,30.1,2020
812,Al-Balqa Applied University,33918,0.31,0.04,38.83,22.53,16.53,52.8,40.5,46.4,2020
813,University of Algarve,7780,0.13,0.16,38.81,22.52,16.51,40.2,35.3,63.1,2020
814,University of Alicante,27207,0.18,0.09,38.8,22.5,16.49,28.7,37.1,41.0,2020
815,Aligarh Muslim University,18783,0.14,0.02,38.79,22.49,16.47,41.1,34.5,23.6,2020
816,American University in Cairo,5936,0.14,0.05,38.77,22.47,16.45,20.2,35.5,64.1,2020
817,American University of Sharjah,5652,0.14,0.83,38.76,22.46,16.43,23.0,37.5,94.8,2020
818,"Asia University, Taiwan",11779,0.3,0.05,38.75,22.44,16.41,23.0,100.0,34.1,2020
819,Athens University of Economics and Business,9678,0.44,0.05,38.73,22.42,16.39,39.3,37.8,45.4,2020
820,Atılım University,9862,0.17,0.06,38.72,22.41,16.37,39.2,37.0,35.3,2020
821,Babeş-Bolyai University,37168,0.25,0.04,38.7,22.39,16.35,36.8,34.9,50.6,2020
822,University of Baghdad,66399,0.1,0.0,38.69,22.38,16.33,43.5,35.2,31.1,2020
823,Bauman Moscow State Technical University,19785,0.05,0.08,38.68,22.36,16.31,16.8,61.8,26.3,2020
824,University of Bedfordshire,10808,0.2,0.34,38.66,22.35,16.29,29.3,34.9,77.1,2020
825,Beijing Jiaotong University,26457,0.14,0.08,38.65,22.33,16.27,20.3,65.2,28.0,2020
826,University of Béjaïa,43026,0.25,0.0,38.64,22.32,16.25,53.3,34.4,43.1,2020
827,Benha University,97843,0.31,0.05,38.62,22.3,16.23,54.6,35.6,42.5,2020
828,Birmingham City University,19975,0.18,0.23,38.61,22.29,16.21,37.4,34.6,62.8,2020
829,University of Bradford,8917,0.18,0.28,38.59,22.27,16.19,33.0,36.9,81.2,2020
830,University of Brasília,44074,0.15,0.02,38.58,22.26,16.17,36.8,34.5,30.9,2020
831,Bucharest University of Economic Studies,22022,0.15,0.03,38.57,22.24,16.15,53.1,34.8,19.4,2020
832,University of Cadiz,19288,0.19,0.08,38.55,22.23,16.13,28.7,35.9,36.4,2020
833,Capital Medical University,13178,0.07,0.05,38.54,22.21,16.11,24.7,35.0,23.5,2020
834,Cardiff Metropolitan University,8661,0.17,0.17,38.53,22.2,16.09,41.0,34.7,61.0,2020
835,Carlos III University of Madrid,17265,0.11,0.15,38.51,22.18,16.07,34.9,38.2,60.2,2020
836,University of Castilla-La Mancha,23530,0.14,0.06,38.5,22.17,16.05,32.7,36.0,37.0,2020
837,University of Central Lancashire,18824,0.17,0.18,38.49,22.15,16.03,39.7,34.8,64.6,2020
838,Chang Gung University,7556,0.12,0.05,38.47,22.14,16.01,29.8,84.9,24.5,2020
839,Chiba University,13764,0.1,0.05,38.46,22.12,15.99,32.8,51.4,25.9,2020
840,University of Chile,35447,0.15,0.06,38.45,22.11,15.97,33.9,34.5,51.2,2020
841,"China University of Geosciences, Beijing",17752,0.15,0.01,38.43,22.09,15.95,39.7,43.0,25.3,2020
842,"China University of Geosciences, Wuhan",28934,0.17,0.04,38.42,22.08,15.93,43.1,45.6,25.5,2020
843,China University of Mining and Technology,47225,0.19,0.02,38.41,22.06,15.92,47.4,52.8,18.4,2020
844,China Pharmaceutical University,16144,0.18,0.03,38.39,22.05,15.9,35.5,57.2,17.4,2020
845,Chonbuk National University,20601,0.21,0.05,38.38,22.03,15.88,23.8,39.6,29.0,2020
846,Chongqing University,44394,0.16,0.04,38.37,22.02,15.86,35.2,60.3,21.4,2020
847,Chonnam National University,22469,0.17,0.06,38.35,22.0,15.84,29.6,38.9,27.5,2020
848,Chulalongkorn University,38531,0.14,0.04,38.34,21.99,15.82,22.2,64.8,37.8,2020
849,University of Córdoba,17406,0.15,0.08,38.33,21.97,15.8,36.4,37.1,41.9,2020
850,Czech Technical University in Prague,19499,0.11,0.19,38.31,21.96,15.78,23.4,44.6,53.7,2020
851,University of Debrecen,26771,0.12,0.18,38.3,21.94,15.76,28.0,37.7,55.7,2020
852,University of Derby,13502,0.15,0.13,38.29,21.93,15.74,32.0,35.1,58.8,2020
853,University of Deusto,9209,0.22,0.11,38.27,21.92,15.72,39.6,38.1,45.7,2020
854,Eastern Mediterranean University,18865,0.27,0.83,38.26,21.9,15.7,30.6,34.4,86.6,2020
855,University of East London,10302,0.17,0.3,38.25,21.89,15.68,32.8,34.4,78.6,2020
856,Edinburgh Napier University,10668,0.19,0.33,38.23,21.87,15.66,40.4,35.6,80.0,2020
857,Embry-Riddle Aeronautical University,16340,0.17,0.09,38.22,21.86,15.65,44.5,34.6,30.2,2020
858,University of Évora,6442,0.12,0.12,38.21,21.84,15.63,31.3,35.6,53.7,2020
859,Federal University of Pelotas,23198,0.17,0.0,38.19,21.83,15.61,48.6,34.4,20.0,2020
860,Federal University of Rio de Janeiro,48675,0.12,0.02,38.18,21.81,15.59,26.1,35.5,28.7,2020
861,Federico Santa María Technical University,19067,0.27,0.03,38.17,21.8,15.57,40.2,44.9,54.5,2020
862,Ferdowsi University of Mashhad,23992,0.3,0.05,38.15,21.78,15.55,23.1,41.8,21.2,2020
863,Florida Atlantic University,23658,0.18,0.1,38.14,21.77,15.53,37.5,37.9,44.6,2020
864,Florida Institute of Technology,5344,0.14,0.33,38.13,21.75,15.51,31.4,37.7,56.8,2020
865,University of La Frontera,10437,0.25,0.01,38.11,21.74,15.49,34.0,34.5,47.9,2020
866,Fu Jen Catholic University,20450,0.21,0.09,38.1,21.73,15.47,31.3,53.5,30.4,2020
867,Fuzhou University,34979,0.16,0.02,38.09,21.71,15.46,54.6,49.5,25.6,2020
868,Gdańsk University of Technology,16834,0.15,0.04,38.08,21.7,15.44,37.0,38.3,23.3,2020
869,University of Ghana,36819,0.29,0.01,38.06,21.68,15.42,28.1,48.0,49.5,2020
870,Guangdong University of Technology,43815,0.2,0.0,38.05,21.67,15.4,54.6,57.3,25.8,2020
871,Hamamatsu University School of Medicine,1210,0.04,0.01,38.04,21.65,15.38,24.3,37.5,17.8,2020
872,Hanoi University of Science and Technology,32161,0.21,0.01,38.02,21.64,15.36,42.3,37.2,44.6,2020
873,Hyogo College of Medicine,888,0.02,0.01,38.01,21.63,15.34,43.5,34.4,16.3,2020
874,Ilmenau University of Technology,5807,0.18,0.22,38.0,21.61,15.32,29.9,50.7,55.5,2020
875,Indian Institute of Science Education and Research Kolkata,1335,0.12,0.0,37.98,21.6,15.31,28.5,35.4,17.2,2020
876,Indian Institute of Technology (Indian School of Mines) Dhanbad,7833,0.25,0.01,37.97,21.58,15.29,37.3,49.3,14.1,2020
877,Indian Institute of Technology Patna,1387,0.13,0.0,37.96,21.57,15.27,41.9,34.7,15.4,2020
878,Inha University,19196,0.24,0.06,37.95,21.55,15.25,23.8,64.0,32.1,2020
