rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year
187,University of Gothenburg,19677,0.1,0.13,54.7,40.92,40.58,93.5,40.1,65.7,2020
188,Télécom Paris,923,0.06,0.39,54.6,40.86,40.5,74.4,76.6,81.7,2020
189,Lomonosov Moscow State University,29235,0.07,0.29,54.3,40.79,40.41,15.6,90.7,66.6,2020
190,University of Münster,43835,0.43,0.08,54.3,40.72,40.32,81.3,47.5,48.7,2020
191,Tel Aviv University,22414,0.22,0.07,54.3,40.66,40.24,71.2,41.8,54.7,2020
192,University of East Anglia,15195,0.14,0.28,54.2,40.59,40.15,97.2,35.7,87.7,2020
193,University of Canberra,10823,0.36,0.32,54.1,40.53,40.07,99.2,38.6,86.9,2020
194,University of Duisburg-Essen,42698,0.53,0.19,54.0,40.46,39.98,91.8,71.6,60.0,2020
195,University of Technology Sydney,26385,0.43,0.34,54.0,40.4,39.9,75.3,50.3,96.1,2020
196,University of the Witwatersrand,28521,0.26,0.08,54.0,40.33,39.81,78.8,100.0,73.7,2020
197,Yonsei University (Seoul campus),17744,0.15,0.22,53.9,40.27,39.73,53.0,98.9,58.4,2020
198,University of Antwerp,15166,0.29,0.17,53.8,40.21,39.65,75.8,72.2,69.6,2020
199,Cardiff University,25501,0.14,0.27,54.71,40.14,39.57,87.1,37.8,85.1,2020
200,George Washington University,23488,0.13,0.18,54.65,40.08,39.48,81.5,35.0,55.5,2020
201,University of Lausanne,12197,0.1,0.24,54.6,40.02,39.4,73.3,67.8,92.7,2020
202,University of St Andrews,9213,0.13,0.46,54.54,39.96,39.32,67.8,37.6,96.6,2020
203,Aalborg University,16340,0.14,0.15,54.49,39.89,39.24,87.1,48.0,75.1,2020
204,University of Barcelona,46214,0.12,0.1,54.43,39.83,39.16,87.6,41.2,54.7,2020
205,University of Bergen,14007,0.13,0.14,54.37,39.77,39.08,94.1,37.1,78.3,2020
206,Brandeis University,5375,0.12,0.27,54.32,39.71,39.0,100.0,35.6,53.4,2020
207,University of Calgary,28560,0.16,0.19,54.26,39.65,38.92,84.7,48.1,77.2,2020
208,Copenhagen Business School,16317,0.31,0.25,54.21,39.59,38.84,83.7,43.6,92.2,2020
209,University of Dundee,12122,0.18,0.22,54.16,39.53,38.76,90.5,46.5,80.4,2020
210,École Normale Supérieure de Lyon,2362,0.09,0.13,54.1,39.47,38.68,63.9,47.0,70.7,2020
211,Griffith University,34120,0.24,0.17,54.05,39.41,38.61,86.0,42.0,81.8,2020
212,University of Hawai’i at Mānoa,15054,0.11,0.1,54.0,39.35,38.53,73.8,51.5,65.5,2020
213,Hebrew University of Jerusalem,16137,0.12,0.05,53.94,39.29,38.45,62.3,41.4,60.3,2020
214,University of Hohenheim,9234,0.38,0.15,53.89,39.23,38.38,92.0,50.0,55.7,2020
215,Howard University,8449,0.08,0.08,53.84,39.17,38.3,99.0,34.4,34.0,2020
216,University of Iowa,28945,0.12,0.12,53.78,39.12,38.22,82.3,54.0,46.5,2020
217,James Cook University,11491,0.21,0.11,53.73,39.06,38.15,93.3,45.9,75.7,2020
218,King Abdulaziz University,32853,0.08,0.21,53.68,39.0,38.07,96.4,78.9,93.1,2020
219,University of Konstanz,11387,0.56,0.13,53.63,38.94,38.0,66.4,72.1,65.6,2020
220,KTH Royal Institute of Technology,12659,0.16,0.2,53.58,38.89,37.92,62.3,50.5,89.0,2020
221,Université Libre de Bruxelles,27194,0.36,0.34,53.53,38.83,37.85,73.6,42.7,87.0,2020
222,University of Luxembourg,4654,0.19,0.49,53.47,38.77,37.77,75.8,45.2,99.7,2020
223,Macquarie University,30234,0.69,0.29,53.42,38.72,37.7,71.8,53.1,83.9,2020
224,University of Massachusetts,61204,0.13,0.15,53.37,38.66,37.63,87.0,49.9,61.7,2020
225,Medical University of Graz,3352,0.11,0.24,53.32,38.61,37.55,91.7,62.1,74.2,2020
226,Medical University of Vienna,7142,0.08,0.3,53.27,38.55,37.48,90.3,53.0,78.8,2020
227,University of Miami,15971,0.06,0.16,53.22,38.49,37.41,83.2,41.3,59.1,2020
228,Moscow Institute of Physics and Technology,5716,0.11,0.15,53.17,38.44,37.34,47.2,99.9,58.7,2020
229,Newcastle University,22691,0.14,0.27,53.12,38.38,37.27,85.5,41.7,87.8,2020
230,University of Otago,18196,0.2,0.21,53.07,38.33,37.19,84.7,37.0,89.8,2020
231,University of Padua,45169,0.21,0.04,53.03,38.28,37.12,80.2,38.4,45.1,2020
232,Paris-Sud University,28726,0.15,0.17,52.98,38.22,37.05,85.9,35.1,65.3,2020
233,Queen’s University Belfast,17747,0.17,0.36,52.93,38.17,36.98,83.7,38.7,96.4,2020
234,University of Reading,14107,0.15,0.31,52.88,38.11,36.91,76.9,40.3,91.9,2020
235,Royal College of Surgeons in Ireland (RCSI),2265,0.21,0.65,52.83,38.06,36.84,90.0,47.5,93.7,2020
236,"St George’s, University of London",3226,0.15,0.21,52.78,38.01,36.77,98.2,36.9,79.6,2020
237,University of South Florida (Tampa),33885,0.19,0.14,52.74,37.95,36.7,87.3,89.0,54.7,2020
238,Tilburg University,8033,0.21,0.15,52.69,37.9,36.63,62.1,55.9,78.2,2020
239,University of Twente,7584,0.14,0.32,52.64,37.85,36.57,55.6,85.0,90.8,2020
240,Ulsan National Institute of Science and Technology (UNIST),4127,0.14,0.08,52.59,37.8,36.5,91.3,80.5,51.9,2020
241,University College Dublin,22541,0.23,0.29,52.55,37.74,36.43,73.6,43.9,92.5,2020
242,University of Utah,30365,0.14,0.08,52.5,37.69,36.36,86.4,48.3,33.0,2020
243,Virginia Polytechnic Institute and State University,32838,0.18,0.14,52.45,37.64,36.29,70.9,47.5,54.0,2020
244,Vita-Salute San Raffaele University,2610,0.11,0.03,52.41,37.59,36.23,97.6,35.9,43.1,2020
245,Vrije Universiteit Brussel,11371,0.28,0.22,52.36,37.54,36.16,62.7,87.0,75.4,2020
246,Wake Forest University,7675,0.04,0.09,52.32,37.49,36.09,94.1,43.6,31.2,2020
247,University of Waterloo,33519,0.24,0.2,52.27,37.44,36.03,66.3,45.1,84.1,2020
248,Western University,29865,0.23,0.18,52.22,37.39,35.96,76.4,59.1,80.0,2020
249,William & Mary,8235,0.11,0.09,52.18,37.34,35.89,87.4,35.3,37.3,2020
250,University of Wollongong,18642,0.32,0.29,52.13,37.29,35.83,75.5,55.7,93.4,2020
251,Alfaisal University,2566,0.1,0.34,52.09,37.24,35.76,95.0,50.4,98.1,2020
252,Auckland University of Technology,18035,0.17,0.47,52.04,37.19,35.7,98.0,36.7,95.8,2020
253,Autonomous University of Madrid,29576,0.13,0.14,52.0,37.14,35.63,74.5,38.6,51.5,2020
254,University of Bath,13825,0.16,0.32,51.95,37.09,35.57,75.7,37.5,90.3,2020
255,Brighton and Sussex Medical School,879,0.11,0.15,51.91,37.04,35.5,100.0,34.4,77.7,2020
256,University at Buffalo,25849,0.17,0.17,51.87,36.99,35.44,73.8,42.1,64.7,2020
257,"University of California, Riverside",22272,0.18,0.14,51.82,36.94,35.38,85.9,39.4,64.7,2020
258,Chalmers University of Technology,9209,0.13,0.17,51.78,36.89,35.31,60.0,74.1,82.9,2020
259,University of Cincinnati,28434,0.2,0.09,51.73,36.84,35.25,83.9,39.4,40.9,2020
260,Curtin University,29214,0.2,0.31,51.69,36.79,35.19,83.2,44.8,94.2,2020
261,Dalhousie University,15196,0.15,0.23,51.65,36.75,35.12,79.5,44.4,85.4,2020
262,University of Delaware,20566,0.17,0.1,51.6,36.7,35.06,71.5,90.6,47.2,2020
263,École des Ponts ParisTech,2005,0.11,0.44,51.56,36.65,35.0,73.1,57.5,82.3,2020
264,University of Essex,11923,0.16,0.39,51.52,36.6,34.94,68.6,35.0,96.5,2020
265,Flinders University,16844,0.26,0.34,51.48,36.56,34.87,84.4,37.7,88.0,2020
266,Florida State University,38520,0.24,0.07,51.43,36.51,34.81,69.2,39.4,43.5,2020
267,George Mason University,29377,0.18,0.1,51.39,36.46,34.75,89.5,35.8,46.2,2020
