rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
193.0,Iowa State University,46.9,37.13,35.3,74.9,44,30.5,29991.0,17.4,0.11,2013
194.0,Technion Israel Institute of Technology,46.9,37.04,35.2,44.0,40.8,55.9,13855.0,19.4,0.04,2013
195.0,University of Miami,46.9,36.95,35.09,69.7,-,33.1,15286.0,5.7,0.14,2013
196.0,University of Leicester,46.7,36.87,34.99,66.5,34.9,83.7,14541.0,13.4,0.35,2013
197.0,University of Victoria,46.7,36.78,34.88,82.7,30.6,65.9,17581.0,21.5,0.11,2013
198.0,University at Buffalo,46.6,36.69,34.78,52.1,42.4,50.7,25668.0,19.0,0.19,2013
199.0,Goethe University Frankfurt,46.4,36.61,34.68,73.9,41.4,57.6,31861.0,9.3,0.15,2013
200.0,"Birkbeck, University of London",46.2,36.52,34.57,72.8,29.4,83.2,9454.0,17.2,0.38,2013
201.0,Autonomous University of Barcelona,48.57,36.44,34.47,62.8,37.3,47.1,30538.0,12.3,0.1,2013
202.0,Brandeis University,48.51,36.35,34.37,83.1,37.4,45.3,5495.0,12.6,0.22,2013
203.0,Cardiff University,48.44,36.27,34.27,60.2,39.8,68.1,23347.0,13.1,0.23,2013
204.0,Fudan University,48.38,36.18,34.17,51.3,46.3,38.6,32175.0,12.2,0.11,2013
205.0,Johannes Gutenberg University of Mainz,48.31,36.1,34.07,85.2,-,57.0,35609.0,32.6,0.1,2013
206.0,Lomonosov Moscow State University,48.25,36.01,33.97,19.7,70.1,50.3,30822.0,7.7,0.2,2013
207.0,Middle East Technical University,48.18,35.93,33.87,44.6,50.6,28.0,25779.0,22.2,0.07,2013
208.0,Nagoya University,48.12,35.85,33.77,53.3,35.5,25.3,15529.0,7.9,0.1,2013
209.0,Northeastern University,48.06,35.77,33.67,76.4,33.8,41.0,18539.0,15.1,0.26,2013
210.0,Pompeu Fabra University,47.99,35.68,33.57,77.5,34.2,49.9,10901.0,18.3,0.13,2013
211.0,Queen’s University,47.93,35.6,33.48,51.2,77.3,58.0,20488.0,22.1,0.1,2013
212.0,"St George’s, University of London",47.87,35.52,33.38,89.7,44.1,57.9,2958.0,13.4,0.17,2013
213.0,Sungkyunkwan University (SKKU),47.81,35.44,33.28,39.3,98.7,30.9,24365.0,20.3,0.09,2013
214.0,Tilburg University,47.74,35.36,33.19,33.7,54.8,56.6,7576.0,22.4,0.1,2013
215.0,University of Barcelona,47.68,35.28,33.09,71.4,30.9,46.0,47491.0,12.2,0.1,2013
216.0,University of Dundee,47.62,35.2,33.0,81.1,49.9,66.6,11628.0,15.3,0.25,2013
217.0,University of Erlangen-Nuremberg,47.56,35.12,32.9,74.6,45.2,49.0,36146.0,53.9,0.09,2013
218.0,University of Georgia,47.5,35.04,32.81,46.8,31.3,36.2,33119.0,19.9,0.07,2013
219.0,University of Gothenburg,47.44,34.96,32.71,63.8,38.6,48.4,26420.0,16.4,0.12,2013
220.0,University of Innsbruck,47.38,34.89,32.62,71.6,38.2,88.7,18209.0,16.9,0.39,2013
221.0,University of Konstanz,47.32,34.81,32.53,64.5,51.9,58.5,10930.0,59.1,0.12,2013
222.0,University of Oslo,47.26,34.73,32.43,62.3,31.4,59.0,27139.0,18.8,0.18,2013
223.0,University of Science and Technology of China,47.2,34.65,32.34,72.7,50.1,22.0,14290.0,7.9,0.02,2013
224.0,University of Strasbourg,47.14,34.58,32.25,72.0,34.8,68.3,46208.0,17.8,0.21,2013
225.0,University of Tübingen,47.08,34.5,32.16,73.8,31.6,56.3,28327.0,38.9,0.12,2013
226.0,Bilkent University,47.03,34.43,32.07,60.1,39.9,42.0,nan,nan,nan,2013
227.0,Carleton University,46.97,34.35,31.98,75.1,-,56.8,25036.0,29.8,0.18,2013
228.0,Chalmers University of Technology,46.91,34.27,31.89,47.7,78.5,65.3,8605.0,11.6,0.15,2013
229.0,Florida Institute of Technology,46.85,34.2,31.8,92.5,28.7,58.4,4408.0,13.7,0.26,2013
230.0,Georgia Health Sciences University,46.79,34.12,31.71,62.0,43.6,32.6,nan,nan,nan,2013
231.0,Korea University,46.74,34.05,31.62,39.4,52.1,27.3,24043.0,15.8,0.14,2013
232.0,Koç University,46.68,33.98,31.53,79.2,37.9,52.8,4488.0,14.6,0.08,2013
233.0,Laval University,46.62,33.9,31.44,57.5,56.6,54.4,27227.0,16.2,0.12,2013
234.0,Mines ParisTech,46.57,33.83,31.36,51.7,99.4,62.4,1283.0,5.6,0.22,2013
235.0,National Research Nuclear University MePhI,46.51,33.76,31.27,100.0,59.6,18.8,7801.0,7.3,0.07,2013
236.0,National Tsing Hua University,46.46,33.68,31.18,44.4,44,20.1,10221.0,13.5,0.05,2013
237.0,Simon Fraser University,46.4,33.61,31.09,61.0,41.6,55.6,26640.0,28.3,0.19,2013
238.0,Technical University of Darmstadt,46.34,33.54,31.01,44.4,84.4,64.4,20300.0,53.6,0.18,2013
239.0,Tulane University,46.29,33.47,30.92,66.8,-,31.2,11381.0,8.4,0.08,2013
240.0,University of Bergen,46.23,33.39,30.84,66.2,41.1,71.0,11623.0,11.1,0.12,2013
241.0,University of Calgary,46.18,33.32,30.75,47.1,42.8,62.2,28341.0,16.5,0.17,2013
242.0,University of Cincinnati,46.12,33.25,30.67,69.5,35.8,23.9,36108.0,15.7,0.06,2013
243.0,University of Missouri,46.07,33.18,30.58,45.2,31.1,30.8,29885.0,14.1,0.05,2013
244.0,University of Otago,46.02,33.11,30.5,54.8,37.2,85.4,18600.0,20.3,0.21,2013
245.0,University of South Florida,45.96,33.04,30.41,48.4,98.9,19.7,31424.0,21.5,0.1,2013
246.0,University of the Witwatersrand,45.91,32.97,30.33,49.8,98.4,65.1,23321.0,18.6,0.09,2013
247.0,University of Waterloo,45.86,32.9,30.25,41.8,39.4,58.3,30726.0,24.2,0.14,2013
248.0,University of Western Ontario,45.8,32.83,30.16,44.8,44.6,51.3,27387.0,20.7,0.16,2013
249.0,University of Würzburg,45.75,32.76,30.08,70.9,30.4,44.8,26576.0,38.4,0.08,2013
250.0,Université Libre de Bruxelles,45.7,32.69,30.0,59.3,54.9,78.2,23819.0,26.1,0.32,2013
251.0,Aalto University,45.64,32.63,29.92,50.1,73.7,52.0,16099.0,24.2,0.17,2013
252.0,Dalhousie University,45.59,32.56,29.84,54.3,65,59.1,15064.0,14.4,0.18,2013
253.0,Hong Kong Polytechnic University,45.54,32.49,29.76,39.8,42.2,65.4,22064.0,25.9,0.26,2013
254.0,Indian Institute of Technology Bombay,45.49,32.42,29.68,45.6,52.7,19.9,8327.0,14.9,0.01,2013
255.0,Macquarie University,45.44,32.36,29.59,54.8,37.2,86.8,27930.0,20.0,0.44,2013
256.0,Nanjing University,45.38,32.29,29.51,52.1,47.7,48.4,29743.0,13.3,0.1,2013
257.0,National Chiao Tung University,45.33,32.22,29.43,31.5,99,27.2,12646.0,16.6,0.05,2013
258.0,Norwegian University of Science and Technology,45.28,32.15,29.35,50.8,45.2,57.5,17381.0,13.9,0.09,2013
259.0,Queensland University of Technology,45.23,32.09,29.28,47.0,58.9,69.2,33391.0,35.8,0.17,2013
260.0,State University of Campinas,45.18,32.02,29.2,26.5,44.9,20.9,27095.0,15.3,0.03,2013
261.0,Stellenbosch University,45.13,31.96,29.12,48.9,96.6,47.8,21849.0,23.0,0.08,2013
262.0,Tokyo Metropolitan University,45.08,31.89,29.04,97.1,31.1,19.6,9303.0,9.9,0.04,2013
263.0,Umeå University,45.03,31.83,28.96,59.6,29.7,52.4,16667.0,11.9,0.07,2013
264.0,University of Connecticut,44.98,31.76,28.88,50.0,32.6,40.5,25742.0,13.0,0.11,2013
