rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
211,University of Duisburg-Essen,42744,0.54,0.19,54.33,31.8,33.6,91.5,70.4,60.4,2021,0.57,0.34,0.34,0.92,0.7,0.6,0.08,0.16,0.23
212,University of Dundee,12245,0.18,0.22,54.27,23.9,32.1,91.5,49.3,80.9,2021,0.57,0.25,0.32,0.92,0.49,0.81,0.02,0.05,0.26
213,Griffith University,33645,0.29,0.17,54.22,26.7,35.3,85.6,48.0,82.2,2021,0.57,0.28,0.35,0.86,0.48,0.82,0.07,0.09,0.2
214,University of Hawai’i at Mānoa,14732,0.11,0.1,54.17,37.0,39.3,72.3,52.5,65.5,2021,0.57,0.39,0.39,0.72,0.52,0.66,0.03,0.03,0.12
215,Hebrew University of Jerusalem,16105,0.12,0.05,54.12,45.6,45.0,61.3,42.6,60.5,2021,0.57,0.48,0.45,0.61,0.43,0.6,0.03,0.04,0.06
216,University of Hohenheim,9235,0.42,0.15,54.06,33.8,31.1,96.4,50.8,55.8,2021,0.57,0.36,0.31,0.96,0.51,0.56,0.02,0.12,0.18
217,Howard University,8766,0.09,0.08,54.01,43.9,17.0,99.5,33.3,35.0,2021,0.56,0.47,0.17,1.0,0.33,0.35,0.02,0.03,0.1
218,University of Iowa,29406,0.12,0.1,53.96,42.3,30.2,80.6,50.6,46.1,2021,0.56,0.45,0.3,0.81,0.51,0.46,0.06,0.04,0.12
219,James Cook University,11198,0.21,0.11,53.91,22.7,28.9,94.2,45.3,76.4,2021,0.56,0.24,0.29,0.94,0.45,0.76,0.02,0.06,0.13
220,Karlsruhe Institute of Technology,26886,0.28,0.23,53.86,45.4,49.4,60.0,94.6,71.2,2021,0.56,0.48,0.5,0.6,0.95,0.71,0.05,0.08,0.27
221,King Abdulaziz University,31869,0.08,0.22,53.8,30.6,16.0,95.2,77.7,93.4,2021,0.56,0.32,0.16,0.95,0.78,0.93,0.06,0.02,0.26
222,KTH Royal Institute of Technology,13482,0.16,0.2,53.75,41.3,44.1,58.0,51.0,88.7,2021,0.56,0.44,0.44,0.58,0.51,0.89,0.03,0.05,0.24
