rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year,overall_score_n,teaching_score_n,research_score_n,citations_score_n,industry_income_score_n,international_outlook_score_n,number_students_n,student_staff_ratio_n,intl_students_n
118.0,Technical University of Denmark,51.6,38.9,26.9,78.7,98.7,77.4,9990.0,0.05,0.18,2014,0.54,0.41,0.27,0.79,0.99,0.79,0.08,0.07,0.33
119.0,University of Glasgow,51.6,34.5,36.6,79.2,40.8,73.7,22616.0,0.16,0.29,2014,0.54,0.36,0.37,0.79,0.41,0.75,0.19,0.22,0.54
120.0,University of St Andrews,51.6,36.9,32.2,77.3,40.3,88.8,8338.0,0.13,0.47,2014,0.54,0.39,0.33,0.77,0.4,0.9,0.07,0.18,0.87
121.0,University of Sussex,51.2,29.5,32.2,86.3,31.3,80.1,12001.0,0.17,0.35,2014,0.54,0.31,0.33,0.86,0.31,0.82,0.1,0.24,0.65
122.0,University of Zurich,51.2,38.0,29.8,78.1,39.2,85.5,26583.0,0.06,0.19,2014,0.54,0.4,0.3,0.78,0.39,0.87,0.22,0.08,0.35
123.0,Lund University,51.1,30.1,48.6,72.0,33.5,67.4,28251.0,0.12,0.15,2014,0.54,0.32,0.49,0.72,0.34,0.69,0.23,0.17,0.28
124.0,University of Geneva,51.0,31.4,33.9,77.2,38.3,96.7,15668.0,0.15,0.39,2014,0.54,0.33,0.34,0.77,0.38,0.98,0.13,0.21,0.72
125.0,Tokyo Institute of Technology,50.8,52.4,51.4,52.0,67.5,32.1,9586.0,0.07,0.13,2014,0.54,0.55,0.52,0.52,0.68,0.33,0.08,0.1,0.24
126.0,Dartmouth College,50.5,38.5,34.5,83.6,42.3,32.7,6178.0,0.07,0.16,2014,0.53,0.4,0.35,0.84,0.42,0.33,0.05,0.1,0.3
127.0,University of Cape Town,50.5,26.3,31.0,84.6,85.6,77.2,20040.0,0.12,0.18,2014,0.53,0.28,0.31,0.85,0.86,0.79,0.17,0.17,0.33
128.0,University of Florida,50.4,48.0,49.9,59.9,50.82,30.9,50095.0,0.19,0.09,2014,0.53,0.5,0.51,0.6,0.51,0.31,0.41,0.26,0.17
129.0,RWTH Aachen University,50.3,40.4,31.3,76.0,73.9,55.5,37917.0,0.28,0.16,2014,0.53,0.42,0.32,0.76,0.74,0.57,0.31,0.39,0.3
130.0,Trinity College Dublin,50.3,33.1,25.2,85.4,30.8,85.9,15521.0,0.18,0.25,2014,0.53,0.35,0.26,0.85,0.31,0.87,0.13,0.25,0.46
131.0,Radboud University Nijmegen,50.2,29.7,46.1,73.1,42.5,58.6,17713.0,0.13,0.1,2014,0.53,0.31,0.47,0.73,0.42,0.6,0.15,0.18,0.19
132.0,Indiana University,50.1,45.8,37.0,71.5,50.82,38.3,62468.0,0.14,0.13,2014,0.53,0.48,0.38,0.72,0.51,0.39,0.52,0.19,0.24
133.0,University of Lausanne,50.1,27.3,39.7,74.5,52.7,84.5,11964.0,0.13,0.22,2014,0.53,0.29,0.4,0.74,0.53,0.86,0.1,0.18,0.41
134.0,University of Massachusetts,50.1,40.7,38.9,74.6,52.0,33.1,56959.0,0.13,0.11,2014,0.53,0.43,0.39,0.75,0.52,0.34,0.47,0.18,0.2
135.0,Boston College,50.0,26.3,26.4,96.2,49.4,54.4,13216.0,0.17,0.19,2014,0.53,0.28,0.27,0.96,0.49,0.55,0.11,0.24,0.35
136.0,"University of California, Santa Cruz",49.9,25.9,29.1,99.9,50.82,39.4,17404.0,0.23,0.01,2014,0.53,0.27,0.3,1.0,0.51,0.4,0.14,0.32,0.02
137.0,Lancaster University,49.7,34.8,32.6,75.4,32.2,81.2,11512.0,0.15,0.33,2014,0.52,0.37,0.33,0.75,0.32,0.83,0.1,0.21,0.61
138.0,Aarhus University,49.6,30.7,46.4,65.8,67.5,67.2,23895.0,0.14,0.14,2014,0.52,0.32,0.47,0.66,0.68,0.68,0.2,0.19,0.26
139.0,Colorado School of Mines,49.5,22.7,27.2,97.1,74.8,47.3,5287.0,0.18,0.12,2014,0.52,0.24,0.28,0.97,0.75,0.48,0.04,0.25,0.22
140.0,University of Leeds,49.5,34.9,38.2,71.3,42.1,68.5,27703.0,0.15,0.21,2014,0.52,0.37,0.39,0.71,0.42,0.7,0.23,0.21,0.39
141.0,University of Warwick,49.4,39.8,42.4,58.7,34.6,82.9,18529.0,0.17,0.37,2014,0.52,0.42,0.43,0.59,0.35,0.84,0.15,0.24,0.69
142.0,National Taiwan University,49.2,47.1,58.3,47.8,47.1,27.3,31891.0,0.12,0.07,2014,0.52,0.49,0.59,0.48,0.47,0.28,0.26,0.17,0.13
143.0,University of Utah,49.1,39.4,36.1,76.6,61.3,25.5,25674.0,0.17,0.09,2014,0.52,0.41,0.37,0.77,0.61,0.26,0.21,0.24,0.17
144.0,Osaka University,49.0,52.5,47.6,50.4,71.2,27.6,23144.0,0.08,0.09,2014,0.52,0.55,0.48,0.5,0.71,0.28,0.19,0.11,0.17
145.0,VU University Amsterdam,49.0,33.1,38.8,74.1,59.8,49.2,23280.0,0.16,0.06,2014,0.52,0.35,0.39,0.74,0.6,0.5,0.19,0.22,0.11
146.0,Arizona State University,48.9,33.8,35.9,83.6,31.4,28.6,83236.0,0.3,0.09,2014,0.52,0.35,0.36,0.84,0.31,0.29,0.69,0.42,0.17
147.0,University of Southampton,48.9,33.2,31.4,75.4,38.6,79.1,20925.0,0.14,0.29,2014,0.52,0.35,0.32,0.75,0.39,0.81,0.17,0.19,0.54
148.0,"University of California, Riverside",48.7,25.9,25.8,91.8,37.6,62.2,20626.0,0.22,0.12,2014,0.51,0.27,0.26,0.92,0.38,0.63,0.17,0.31,0.22
149.0,University of Exeter,48.7,29.2,32.8,78.3,37.2,76.7,17755.0,0.19,0.28,2014,0.51,0.31,0.33,0.78,0.37,0.78,0.15,0.26,0.52
150.0,Tohoku University,48.5,51.8,48.1,47.3,85.9,29.3,17200.0,0.05,0.07,2014,0.51,0.54,0.49,0.47,0.86,0.3,0.14,0.07,0.13
151.0,University of Copenhagen,48.5,33.9,32.0,73.1,43.0,76.0,27545.0,0.04,0.19,2014,0.51,0.36,0.32,0.73,0.43,0.77,0.23,0.06,0.35
152.0,University of Freiburg,48.4,40.1,28.4,71.8,86.6,55.9,26467.0,0.31,0.16,2014,0.51,0.42,0.29,0.72,0.87,0.57,0.22,0.43,0.3
153.0,University of Birmingham,48.3,42.8,39.6,57.5,36.7,72.2,25295.0,0.16,0.23,2014,0.51,0.45,0.4,0.57,0.37,0.74,0.21,0.22,0.43
154.0,Karlsruhe Institute of Technology,48.0,39.0,33.6,64.8,83.0,61.9,25294.0,0.25,0.16,2014,0.51,0.41,0.34,0.65,0.83,0.63,0.21,0.35,0.3
155.0,Joseph Fourier University,47.8,39.1,27.6,75.6,36.1,57.1,16130.0,0.12,0.13,2014,0.5,0.41,0.28,0.76,0.36,0.58,0.13,0.17,0.24
156.0,École Normale Supérieure de Lyon,47.5,37.1,35.2,67.7,30.0,63.3,2218.0,0.08,0.14,2014,0.5,0.39,0.36,0.68,0.3,0.64,0.02,0.11,0.26
157.0,University of Bern,47.4,38.9,31.4,64.3,45.1,78.5,14708.0,0.22,0.14,2014,0.5,0.41,0.32,0.64,0.45,0.8,0.12,0.31,0.26
158.0,University of Nottingham,47.4,38.4,36.3,62.3,39.2,70.3,30144.0,0.15,0.27,2014,0.5,0.4,0.37,0.62,0.39,0.72,0.25,0.21,0.5
159.0,Texas A&M University,47.2,43.0,50.2,48.6,47.5,46.8,50657.0,0.21,0.09,2014,0.5,0.45,0.51,0.49,0.48,0.48,0.42,0.29,0.17
160.0,Georgetown University,47.0,51.9,25.6,62.3,71.9,43.6,15408.0,0.08,0.14,2014,0.5,0.54,0.26,0.62,0.72,0.44,0.13,0.11,0.26
161.0,University College Dublin,46.7,27.1,29.0,77.0,33.1,79.6,22193.0,0.24,0.23,2014,0.49,0.28,0.29,0.77,0.33,0.81,0.18,0.33,0.43
162.0,University of Iowa,46.7,44.2,31.6,70.4,50.82,29.3,27526.0,0.12,0.11,2014,0.49,0.46,0.32,0.7,0.51,0.3,0.23,0.17,0.2
163.0,University of Leicester,46.7,32.5,32.9,66.9,33.7,81.6,14541.0,0.13,0.35,2014,0.49,0.34,0.33,0.67,0.34,0.83,0.12,0.18,0.65
164.0,Brandeis University,46.6,28.8,24.3,86.5,36.8,50.6,5495.0,0.13,0.22,2014,0.49,0.3,0.25,0.86,0.37,0.52,0.05,0.18,0.41
165.0,Pompeu Fabra University,46.6,27.0,27.1,85.2,37.3,51.7,10901.0,0.18,0.13,2014,0.49,0.28,0.28,0.85,0.37,0.53,0.09,0.25,0.24
166.0,University of Antwerp,46.6,34.5,33.2,64.1,100.0,61.1,12346.0,0.3,0.16,2014,0.49,0.36,0.34,0.64,1.0,0.62,0.1,0.42,0.3
167.0,University of Auckland,46.6,26.7,33.5,67.0,74.5,88.0,29787.0,0.19,0.28,2014,0.49,0.28,0.34,0.67,0.74,0.9,0.25,0.26,0.52
168.0,University of Western Australia,46.4,34.6,34.7,58.0,63.3,88.6,20851.0,0.21,0.27,2014,0.49,0.36,0.35,0.58,0.63,0.9,0.17,0.29,0.5
169.0,University of Liverpool,46.3,31.1,31.2,70.3,37.7,75.0,18815.0,0.14,0.3,2014,0.49,0.33,0.32,0.7,0.38,0.76,0.16,0.19,0.56
170.0,University of Twente,46.2,32.7,43.8,54.3,81.8,65.5,6631.0,0.12,0.26,2014,0.49,0.34,0.44,0.54,0.82,0.67,0.05,0.17,0.48
171.0,University of Vienna,46.2,35.8,36.1,57.4,29.3,89.5,34651.0,0.2,0.25,2014,0.49,0.38,0.37,0.57,0.29,0.91,0.29,0.28,0.46
172.0,Université Catholique de Louvain,46.1,30.1,35.3,67.5,57.8,63.4,28856.0,0.42,0.19,2014,0.49,0.32,0.36,0.68,0.58,0.65,0.24,0.58,0.35
173.0,Yeshiva University,46.1,47.3,20.6,77.5,50.82,25.6,6753.0,0.06,0.07,2014,0.49,0.5,0.21,0.78,0.51,0.26,0.06,0.08,0.13
174.0,University of Delaware,46.0,27.0,35.5,73.6,98.1,37.1,19262.0,0.16,0.1,2014,0.48,0.28,0.36,0.74,0.98,0.38,0.16,0.22,0.19
175.0,University of East Anglia,46.0,27.2,24.0,81.7,29.5,72.3,14992.0,0.15,0.28,2014,0.48,0.29,0.24,0.82,0.3,0.74,0.12,0.21,0.52
176.0,University at Buffalo,45.9,40.2,39.3,56.2,39.4,55.4,25668.0,0.19,0.19,2014,0.48,0.42,0.4,0.56,0.39,0.56,0.21,0.26,0.35
