rank,name,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,number_students,student_staff_ratio,intl_students,year
120,Queen Mary University of London,54.6,39.7,44.1,73.5,38.9,91,14260,14,0.40,2011
122,Michigan State University,54.5,50.4,52.7,63.7,-,30.4,44750,15.7,0.15,2011
122,Technical University of Denmark,54.5,46.2,46.9,64.6,95.5,64,9990,5,0.18,2011
124,Ghent University,54.4,52.8,59.1,52.8,97.1,24.7,32166,34.1,0.09,2011
124,Lancaster University,54.4,43.5,41.9,74.9,28.8,73.8,11512,14.9,0.33,2011
124,Leiden University,54.4,47.3,54.9,59.3,100,40,21222,17.1,0.10,2011
127,University of Alberta,54.3,53.7,58,49.7,44.5,71.6,36299,21.6,0.23,2011
128,University of Glasgow,54.2,45.6,50.3,65.1,61,55.1,22616,16,0.29,2011
129,Stockholm University,54,36.9,49.2,75.9,31.7,-,31715,23.7,0.08,2011
130,Osaka University,53.4,61.7,63.4,40,73.4,20.1,23144,7.8,0.09,2011
130,University of Victoria,53.4,32.9,48.3,79.1,27.4,-,17581,21.5,0.11,2011
132,Tohoku University,53.3,60.3,62.5,41.2,82.3,20.1,17200,5,0.07,2011
132,University of Freiburg,53.3,52.4,41.4,64.3,79.8,46.2,26467,31.2,0.16,2011
132,University of Iowa,53.3,48.6,59.8,54.8,-,31.7,27526,11.6,0.11,2011
135,University of Bergen,52.7,39.9,42.1,73.1,41.5,66.6,11623,11.1,0.12,2011
136,University of Lausanne,52.6,43.1,50.5,59.1,42.5,84.1,11964,13.1,0.22,2011
137,University of Sheffield,52.5,48.9,49.2,58.4,40.3,62.7,23311,15.5,0.31,2011
138,University of Montreal,52.4,56.1,49.4,51.9,-,-,38264,20.3,0.25,2011
139,VU University Amsterdam,52.3,47.6,51.6,58.5,81.4,30.6,23280,16.3,0.06,2011
140,Pierre and Marie Curie University,52.2,51.9,37.2,71.5,26.4,30.7,27862,8.7,0.18,2011
140,University of Dundee,52.2,34.1,41,79.3,49.3,54.4,11628,15.3,0.25,2011
142,University of Barcelona,52.1,34.1,33.7,91.9,30,22.3,47491,12.2,0.10,2011
143,Utrecht University,52,43.4,53,58.8,55.3,52.6,30779,15.4,0.07,2011
144,Wageningen University and Research Center,51.9,58.5,48.8,53,-,24.3,9248,17,0.21,2011
145,University of Auckland,51.8,34.8,39.2,71.8,61.1,94.3,29787,18.9,0.28,2011
145,University of Birmingham,51.8,50.3,50.7,52.1,34.8,73.8,25295,16.4,0.23,2011
147,Alexandria University,51.6,29.5,28,99.8,36,19.3,127431,23.3,0.01,2011
147,Uppsala University,51.6,49.6,62.2,40.7,39.5,77.9,25266,18.2,0.12,2011
149,Hong Kong Polytechnic University,51.4,39.4,45.7,62.4,57.2,82.9,22064,25.9,0.26,2011
149,University of Aberdeen,51.4,37.8,45.2,64.6,47,86.1,12938,15.8,0.33,2011
151,Delft University of Technology,51.3,55.5,67.7,29,99.4,47.4,15920,19.4,0.25,2011
152,"Birkbeck, University of London",51.2,41.2,35.8,70.6,27.4,88.5,9454,17.2,0.38,2011
152,Newcastle University,51.2,42.7,42.8,63.6,31.1,80.5,20174,15.2,0.29,2011
152,University of New South Wales,51.2,49.5,48.9,51.2,60,70.7,38309,25.9,0.33,2011
155,Pompeu Fabra University,51.1,35,33,84.7,40,44.1,10901,18.3,0.13,2011
156,Indiana University,51,48.5,42.5,63.2,-,37.7,62468,13.6,0.13,2011
156,Iowa State University,51,49.3,49.6,58.2,49.6,23.2,29991,17.4,0.11,2011
158,Georgia Health Sciences University,50.7,67.3,41.7,48.9,50.1,16.3,,,,2011
159,Erasmus University Rotterdam,50.4,39.4,43.6,65.5,-,58.6,20580,18.9,0.18,2011
159,University of Delaware,50.4,38.4,51.9,61.3,100,16.8,19262,15.9,0.10,2011
161,Arizona State University,50.3,43,44.1,66.9,-,24.1,83236,29.9,0.09,2011
161,Boston College,50.3,40.1,33.6,78,-,31.6,13216,17.4,0.19,2011
163,National Sun Yat-Sen University,50.2,46.1,50.6,58.9,37.5,21.3,9336,19.6,0.04,2011
164,Georgetown University,50.1,65.1,44.7,45,-,24.7,15408,8.5,0.14,2011
165,University of Amsterdam,50,42.5,49.2,60.2,38.8,38.2,24570,14.4,0.11,2011
165,University of Liverpool,50,40.8,47.8,59.6,40.6,59.8,18815,13.6,0.30,2011
167,Aarhus University,49.9,38.1,55.6,57.3,61.5,33.4,23895,13.6,0.14,2011
168,University of Leeds,49.8,46.2,48,55.6,38.3,50,27703,14.7,0.21,2011
168,University of Würzburg,49.8,48.7,40.9,60.4,-,40.3,26576,38.4,0.08,2011
170,University of Groningen,49.7,41.7,56.4,54.1,34.2,35.5,24556,25.6,0.12,2011
171,Sun Yat-sen University,49.6,46.2,34.7,70.2,41.2,29.3,51351,16.6,0.08,2011
172,Goethe University Frankfurt,49.4,39.2,37.3,69.5,41.6,56.1,31861,9.3,0.15,2011
173,Bielefeld University,49.3,39.9,35.7,70.4,-,-,21428,67.8,0.08,2011
174,Nanyang Technological University,49,43.6,51.7,45,40,96.3,25028,16.2,0.33,2011
174,University of East Anglia,49,42.1,40.4,62.8,29.7,62.8,14992,14.7,0.28,2011
174,University of Nottingham,49,46.8,44.1,52.5,38.4,74.8,30144,15,0.27,2011
177,University of Copenhagen,48.8,44.1,45.7,58.3,26.1,45.8,27545,4.1,0.19,2011
178,Humboldt University of Berlin,48.5,50.9,44.5,52,27.8,46.1,29987,52.5,0.16,2011
178,Monash University,48.5,39.4,38.8,60.5,40.8,87.1,50882,40.5,0.36,2011
178,University of Bonn,48.5,46.8,33.8,65.3,29.4,46.8,32474,70.4,0.13,2011
181,National Chiao Tung University,48.3,53.2,54.4,32.9,98.7,57.9,12646,16.6,0.05,2011
182,RWTH Aachen University,48.2,50,42.5,48.9,56.6,63.8,37917,27.6,0.16,2011
183,Middle East Technical University,47.7,39.5,39.5,66.4,43.9,27.2,25779,22.2,0.07,2011
184,University of Exeter,47.6,40.4,42.5,57.9,32.2,62.8,17755,18.8,0.28,2011
185,University of Twente,47.5,49.9,48.3,42,49.8,62.4,6631,12,0.26,2011
186,University of Konstanz,47.3,42.7,40.1,51.3,-,93.6,10930,59.1,0.12,2011
187,Karlsruhe Institute of Technology,47.2,45,35.4,60.7,40,47.3,25294,24.6,0.16,2011
187,University of Innsbruck,47.2,37.9,34.8,60.2,35,99.5,18209,16.9,0.39,2011
189,University of Tübingen,47,45.9,36.3,57.3,32.3,57.8,28327,38.9,0.12,2011
190,Drexel University,46.9,45,35.9,58.2,27.4,60.6,20713,10.8,0.18,2011
190,University of Cincinnati,46.9,43.6,40.4,61.5,32.5,18.9,36108,15.7,0.06,2011
190,Yonsei University,46.9,43,48.7,52.2,40.4,28,24774,11.6,0.14,2011
193,Dalhousie University,46.8,41.6,50.2,48.8,-,44.9,15064,14.4,0.18,2011
193,KTH Royal Institute of Technology,46.8,49.1,56.2,29.2,100,64.2,12062,14.6,0.21,2011
195,University of Vienna,46.7,47.6,45.7,45.6,27,63.2,34651,20.5,0.25,2011
196,Kent State University,46.5,33.5,33.3,76.8,26.3,15.9,23122,19,0.08,2011
197,University of Illinois at Chicago,46.4,57.8,46.8,34.7,-,51.8,24313,9.2,0.17,2011
197,Zhejiang University,46.4,54.6,41.3,44.3,70.3,29.6,47508,15.9,0.05,2011
199,Simon Fraser University,46.2,32.9,44.2,60.2,37.9,51.9,26640,28.3,0.19,2011
199,Swedish University of Agricultural Sciences,46.2,43.3,49.5,41.7,99.9,-,3879,4.6,,2011
