rank,name,number_students,student_staff_ratio,intl_students,overall_score,teaching_score,research_score,citations_score,industry_income_score,international_outlook_score,tahun
59,Wageningen University & Research,13914.00,21.3,27,69.4,49.3,57,96.1,100.00,81.9,2020
60,University of Sydney,45111.00,20.1,39,69.3,51,62,90.7,67.70,89.2,2020
61,Boston University,25662.00,11.6,27,68.5,57.3,56,95.7,41.40,64.4,2020
62,University of Amsterdam,26723.00,13.5,18,68.1,48,63,91.2,45.30,82,2020
62,University of Southern California,36929.00,11.7,25,68.1,54.7,59,93.1,39.70,66.2,2020
64,Seoul National University,26182.00,12.4,12,68,72.3,72,66.5,86.60,35.8,2020
65,Kyoto University,22566.00,9,9,67.7,73.7,78,59.9,66.20,33.7,2020
66,University of Queensland,39144.00,35.7,34,67.4,49.3,59,86.8,80.90,92.5,2020
67,Delft University of Technology,18743.00,20.2,30,66.7,55.3,72,63.2,99.40,92.8,2020
67,Leiden University,28741.00,18.7,16,66.7,48.3,65,83.1,72.70,79.4,2020
69,Erasmus University Rotterdam,23167.00,20.4,23,66.3,39.4,57,97.1,63.60,87.3,2020
70,Ohio State University (Main campus),54372.00,12.5,13,66.1,57.5,56,87.3,53.30,59.5,2020
71,UNSW Sydney,44336.00,35.7,41,65.9,50.2,58,82.9,57.90,93.7,2020
72,McMaster University,24412.00,28.1,17,65.4,44.5,50,94.8,94.00,82.7,2020
73,University of Groningen,27228.00,23.8,21,65.1,42.3,56,91.6,79.80,82.5,2020
74,Humboldt University of Berlin,33463.00,56.1,17,65,61.8,67,67.9,40.20,67.8,2020
75,Monash University,52989.00,33.9,39,64.7,47.3,57,83.8,67.20,89.9,2020
75,Utrecht University,31833.00,14.2,9,64.7,44.1,61,88.4,65.30,65.5,2020
77,University of Warwick,20599.00,13.2,41,64.6,46.9,53,88.8,42.80,93.8,2020
78,Penn State (Main campus),46204.00,15.3,16,64.2,55.2,67,75.7,52.10,47.4,2020
79,University of Minnesota,61120.00,12.4,11,64.1,55.2,59,82.7,78.20,40.2,2020
80,Charité - Universitätsmedizin Berlin,7076.00,17.6,19,64,47.6,47,94.9,92.70,63.5,2020
80,Emory University,12735.00,4,20,64,56,40,98.8,45.40,57.9,2020
80,University of Science and Technology of China,16245.00,7.7,4,64,64.6,60,74.7,79.60,31.3,2020
80,Sorbonne University,43076.00,13.5,19,64,62.3,51,79.9,38.40,69.2,2020
84,Michigan State University,44789.00,16.5,16,63.9,56.6,57,80,37.80,63.3,2020
85,University of Montreal,36794.00,20.2,22,63.4,48.2,50,86.4,70.00,84.1,2020
86,University of Freiburg,21475.00,42.8,23,63.3,49.1,52,83.1,100.00,75.7,2020
87,University of Bristol,21783.00,13.6,27,63.2,41.8,48,95.5,40.90,86.6,2020
88,Purdue University West Lafayette,40451.00,15.7,23,63.1,57.5,66,63,64.30,72,2020
89,Sungkyunkwan University (SKKU),23342.00,19.5,15,63,57.6,61,70.3,97.30,51.1,2020
90,University of Zurich,22609.00,12.3,21,62.8,47,47,88.2,53.00,92.2,2020
91,"University of Maryland, College Park",33108.00,16.6,11,62.7,46.9,59,89.6,39.20,41.2,2020
91,University of Tübingen,27901.00,37.5,14,62.7,51.2,56,80.1,67.00,64,2020
93,École Polytechnique,3030.00,5.7,40,62.5,59.6,49,70.2,69.60,95.2,2020
94,University of Basel,11518.00,15.8,27,62.4,43,41,91.4,99.40,96.1,2020
94,Dartmouth College,6247.00,7.7,15,62.4,58.4,40,96.4,41.00,39.6,2020
96,"University of California, Irvine",32706.00,16.5,26,62.3,43.3,47,94.9,58.90,71.9,2020
96,University of Helsinki,22072.00,16.6,5,62.3,43.4,59,88.1,38.10,55.1,2020
96,Lund University,27266.00,12.1,19,62.3,40.7,54,86.3,81.00,77.7,2020
99,University of Glasgow,25357.00,15.4,37,62.2,41.1,48,91.8,40.00,92.3,2020
99,RWTH Aachen University,45377.00,61.1,21,62.2,55.6,62,67.3,98.10,59,2020
101,University of Copenhagen,31219.00,4.3,17,62.1,48.1,44,89.6,48.10,85.4,2020
102,Georgetown University,16279.00,8.5,18,61.9,57.3,38,93.9,62.50,47.2,2020
102,Uppsala University,25438.00,16.7,15,61.9,41.6,56,85,74.60,68.1,2020
104,University of Arizona,39124.00,18.4,10,61.8,52.6,54,85.3,52.70,40.2,2020
105,University of Bonn,36352.00,67.7,13,61.6,47.6,47,88,93.30,60.3,2020
105,Rice University,6667.00,8.9,28,61.6,49.1,40,93.7,45.40,77,2020
107,University of Virginia (Main campus),23116.00,8.6,12,61.5,54.4,44,91.3,41.60,48.9,2020
107,Zhejiang University,33427.00,10.7,22,61.5,66,65,50.6,100.00,61.8,2020
109,Fudan University,32537.00,11.2,12,61.4,61.9,59,68.1,58.60,44.8,2020
110,Korea Advanced Institute of Science and Technology (KAIST),9481.00,10.2,8,61.3,62.6,66,58.1,99.90,35.5,2020
110,Queen Mary University of London,17799.00,14.1,43,61.3,35.3,43,98,44.10,96.7,2020
112,University of Birmingham,29542.00,15.5,29,60.9,39.6,46,92.1,39.30,89.2,2020
113,University of Bern,11090.00,16.5,16,60.4,44.5,41,86.6,85.00,87.3,2020
113,University of Pittsburgh-Pittsburgh campus,26652.00,5.8,11,60.4,47.4,46,95.1,40.70,39.3,2020
115,Aarhus University,26842.00,14.4,9,60.3,37.2,54,85.4,66.70,74.8,2020
116,Vanderbilt University,12006.00,3,14,60.2,48.7,42,95.4,47.50,43,2020
117,Free University of Berlin,35894.00,58.2,21,60.1,57.2,63,58.4,42.40,71.6,2020
117,University of Sheffield,26218.00,15,34,60.1,45.2,46,83,45.80,87.3,2020
119,Case Western Reserve University,10654.00,8.8,23,60,48.4,40,95.3,42.10,52.2,2020
120,University of Adelaide,21093.00,29.9,29,59.9,34.3,42,95.3,64.80,91.7,2020
120,National Taiwan University,27254.00,11.1,11,59.9,57,63,64,65.40,41.9,2020
122,University of Southampton,23863.00,13.7,34,59.8,40.2,44,88,40.10,94.2,2020
123,Ghent University,38080.00,37,10,59.7,43.3,56,78.4,80.90,59.5,2020
124,University of Colorado Boulder,33186.00,16.3,11,59.6,44.8,46,93.1,41.70,47.3,2020
125,University of Göttingen,30773.00,29.1,13,59.5,49.6,49,82,37.00,60.9,2020
126,City University of Hong Kong,9587.00,11,45,59.3,41,49,77.6,62.40,99.6,2020
127,Maastricht University,16857.00,18.6,54,59,40.2,48,77,82.90,97.6,2020
128,Radboud University Nijmegen,20024.00,17.5,14,58.9,36,50,88.2,46.20,73,2020
128,University of York,16058.00,14.9,24,58.9,40.3,47,85.1,36.40,85.4,2020
130,University of Paris,61390.00,15.5,17,58.8,52,36,88.3,35.60,66.6,2020
131,University of Oslo,20783.00,12.6,17,58.7,39.6,44,90,40.70,75.5,2020
131,University of Western Australia,18400.00,23.2,29,58.7,32.5,44,91,57.00,94.3,2020
133,Durham University,16963.00,14.8,30,58.5,45.5,48,75.5,37.90,91.7,2020
134,Indiana University,66872.00,13.6,15,58.4,50.8,50,76.7,49.80,53.5,2020
134,University of Vienna,33547.00,40.2,27,58.4,48.1,55,64.6,37.10,94.2,2020
136,University of Alberta,31919.00,21,26,58.2,47.9,49,70.3,60.50,87.5,2020
136,University of Cape Town,21812.00,11.9,17,58.2,33.2,43,90.3,85.30,81.8,2020
138,Vrije Universiteit Amsterdam,23025.00,16.5,10,58.1,35.7,48,88.4,52.50,68.8,2020
139,Lancaster University,12657.00,12.5,38,58,34.7,39,92.5,36.00,94.2,2020
139,Tufts University,11017.00,9.8,16,58,49.1,34,94.4,38.60,49.6,2020
141,University of Ottawa,35365.00,24.7,19,57.9,41.3,42,86.2,46.50,77.7,2020
141,Ulm University,10629.00,27.7,13,57.9,40.6,37,94.9,75.70,57.5,2020
143,Pompeu Fabra University,11636.00,21.6,13,57.8,37.7,40,94.4,44.50,66.5,2020
144,University of Geneva,16935.00,15.6,39,57.6,38.1,44,80.4,63.30,98.4,2020
144,Nanjing University,34569.00,15.5,10,57.6,50.7,48,71.8,84.90,57.8,2020
146,University of Exeter,21451.00,17.6,28,57.4,33.9,39,92.4,37.80,91.9,2020
146,Pohang University of Science and Technology (POSTECH),3215.00,10.3,3,57.4,51.7,51,72.2,99.60,32.9,2020
146,University of Sussex,14978.00,16.1,39,57.4,35.3,38,91.8,35.90,93.6,2020
149,University of Hamburg,30375.00,59.3,12,57.3,44.4,50,74,98.50,58.1,2020
149,Sant’Anna School of Advanced Studies – Pisa,776.00,12.4,19,57.3,45,42,82.5,84.70,56,2020
149,Technical University of Berlin,22622.00,60.6,24,57.3,50.4,54,62.3,92.70,66.2,2020
152,Université Catholique de Louvain,26235.00,39.3,20,57.2,38.8,52,75.7,53.70,80.5,2020
152,University of Nottingham,29699.00,14.6,29,57.2,42.7,43,80.3,39.40,87.5,2020
152,Scuola Normale Superiore di Pisa,558.00,6.8,11,57.2,57.2,38,79.2,35.90,52.8,2020
155,Arizona State University (Tempe),46683.00,21.1,21,57.1,39.3,51,81.6,38.50,61.8,2020
155,University of Leeds,30236.00,14.2,29,57.1,41.1,46,78,39.90,87.5,2020
157,Autonomous University of Barcelona,31877.00,12.6,16,56.9,40.9,36,92.9,44.80,64.3,2020
157,University of Cologne,36965.00,36.5,16,56.9,43.6,43,81.5,70.60,62.9,2020
157,University of Mannheim,10730.00,79.9,18,56.9,41.9,50,78.2,58.60,58.5,2020
157,University of Notre Dame,12104.00,13.7,12,56.9,52.9,46,73.5,38.10,55.3,2020
157,Shanghai Jiao Tong University,38853.00,11.1,13,56.9,58,63,47.9,99.90,49.8,2020
157,TU Dresden,32309.00,34.2,14,56.9,46.5,49,73,94.10,55.8,2020
163,University of Würzburg,24082.00,36.6,10,56.8,38.7,42,87.5,65.60,61.5,2020
164,Trinity College Dublin,16853.00,21.9,30,56.4,41.7,44,75.4,41.20,94.4,2020
165,University of Liverpool,23057.00,13.8,33,56.3,35.2,38,88.8,38.80,92.2,2020
166,Bielefeld University,24875.00,77.5,8,56.1,36.1,43,91.1,59.40,48.6,2020
166,University of Leicester,14645.00,14.3,32,56.1,30.1,35,96.2,38.10,90.7,2020
168,University of Aberdeen,12399.00,15.7,39,56,30.4,33,95.2,45.80,95.7,2020
168,University of Bologna,65819.00,24,12,56,51.5,35,83.8,45.10,50.7,2020
168,"Rutgers, the State University of New Jersey",44801.00,11.2,17,56,47.8,49,73.9,41.10,51.5,2020
171,Hong Kong Polytechnic University,20388.00,23.1,25,55.9,41,47,71.8,42.30,94.1,2020
172,University of Alabama at Birmingham,16927.00,16.7,6,55.7,39.2,34,97.3,74.80,37.4,2020
173,Northeastern University,19575.00,13.9,35,55.6,38,28,97.5,38.00,75,2020
173,University of Rochester,9824.00,4.2,31,55.6,43.4,30,91.4,40.90,67.2,2020
175,University of Florida,46642.00,16.8,10,55.4,54,54,61.9,57.90,40,2020
175,Karlsruhe Institute of Technology,27255.00,25.6,22,55.4,45.4,48,66.5,91.30,69.1,2020
175,Stockholm University,27185.00,19.5,14,55.4,30,46,85,36.60,81.3,2020
178,Texas A&M University,60818.00,24.8,8,55.3,49.3,55,62.8,45.30,54.3,2020
179,University of Auckland,32821.00,22.1,32,55.2,31.4,44,80.2,62.40,94,2020
179,"University of California, Santa Cruz",18783.00,23,10,55.2,33.1,35,97.7,39.10,60.6,2020
179,Korea University,22965.00,16,22,55.2,48.4,50,64.5,93.90,52,2020
179,Queensland University of Technology,34871.00,38.2,16,55.2,31.9,40,86.4,62.40,81.4,2020
183,University of Erlangen-Nuremberg,38111.00,57,12,54.9,41.1,46,75.2,89.60,52.9,2020
184,Aalto University,12195.00,18.6,26,54.8,41.8,39,76.7,48.30,82.3,2020
184,Technical University of Denmark,9265.00,6.6,25,54.8,39.4,40,73.8,71.60,92.8,2020
186,Eindhoven University of Technology,8917.00,20.7,19,54.7,44.6,49,61,99.80,78.3,2020
186,University of Gothenburg,19677.00,10.2,13,54.7,27.5,42,93.5,40.10,65.7,2020
188,Télécom Paris,923.00,5.6,39,54.6,42.6,38,74.4,76.60,81.7,2020
189,Lomonosov Moscow State University,29235,7.3,29,54.3,78.2,63,15.6,90.70,66.6,2020
189,University of Münster,43835,43.4,8,54.3,41,43,81.3,47.50,48.7,2020
189,Tel Aviv University,22414,22.3,7,54.3,41.3,51,71.2,41.80,54.7,2020
192,University of East Anglia,15195,13.9,28,54.2,28.3,30,97.2,35.70,87.7,2020
193,University of Canberra,10823,36.2,32,54.1,25.2,31,99.2,38.60,86.9,2020
194,University of Duisburg-Essen,42698,53,19,54,34.4,33,91.8,71.60,60,2020
194,University of Technology Sydney,26385,43.4,34,54,33.5,43,75.3,50.30,96.1,2020
194,University of the Witwatersrand,28521,26.3,8,54,31.2,43,78.8,100.00,73.7,2020
197,Yonsei University (Seoul campus),17744,14.6,22,53.9,51.2,53,53,98.90,58.4,2020
198,University of Antwerp,15166,29.3,17,53.8,35.6,45,75.8,72.20,69.6,2020
198,Cardiff University,25501,13.5,27,53.8,32.5,36,87.1,37.80,85.1,2020
198,George Washington University,23488,13.1,18,53.8,48.6,32,81.5,35.00,55.5,2020
198,University of Lausanne,12197,9.6,24,53.8,33.1,44,73.3,67.80,92.7,2020
198,University of St Andrews,9213,12.7,46,53.8,42.2,42,67.8,37.60,96.6,2020
201,Aalborg University,16340,13.6,15,53.7,28.5,39,87.1,48.00,75.1,2020
201,University of Barcelona,46214,11.8,10,53.7,37.3,33,87.6,41.20,54.7,2020
201,University of Bergen,14007,12.5,14,53.7,29.5,29,94.1,37.10,78.3,2020
201,Brandeis University,5375,12.2,27,53.7,28.5,23,100,35.60,53.4,2020
201,University of Calgary,28560,16,19,53.7,33.9,34,84.7,48.10,77.2,2020
201,Copenhagen Business School,16317,30.9,25,53.7,25.3,32,83.7,43.60,92.2,2020
201,University of Dundee,12122,17.6,22,53.7,24.8,31,90.5,46.50,80.4,2020
201,École Normale Supérieure de Lyon,2362,8.9,13,53.7,45.2,44,63.9,47.00,70.7,2020
201,Griffith University,34120,23.6,17,53.7,25.5,33,86,42.00,81.8,2020
201,University of Hawai’i at Mānoa,15054,10.8,10,53.7,36.3,39,73.8,51.50,65.5,2020
201,Hebrew University of Jerusalem,16137,12,5,53.7,48.2,45,62.3,41.40,60.3,2020
201,University of Hohenheim,9234,37.8,15,53.7,34.4,31,92,50.00,55.7,2020
201,Howard University,8449,7.5,8,53.7,42.8,15,99,34.40,34,2020
201,University of Iowa,28945,11.6,12,53.7,43.1,30,82.3,54.00,46.5,2020
201,James Cook University,11491,21.2,11,53.7,23.3,28,93.3,45.90,75.7,2020
201,King Abdulaziz University,32853,7.9,21,53.7,29.5,17,96.4,78.90,93.1,2020
201,University of Konstanz,11387,56.1,13,53.7,38.8,44,66.4,72.10,65.6,2020
201,KTH Royal Institute of Technology,12659,15.7,20,53.7,40.5,43,62.3,50.50,89,2020
201,Université Libre de Bruxelles,27194,36.2,34,53.7,30.2,42,73.6,42.70,87,2020
201,University of Luxembourg,4654,18.7,49,53.7,37.9,37,75.8,45.20,99.7,2020
201,Macquarie University,30234,68.6,29,53.7,37.8,43,71.8,53.10,83.9,2020
201,University of Massachusetts,61204,13,15,53.7,38.5,31,87,49.90,61.7,2020
201,Medical University of Graz,3352,10.9,24,53.7,30.9,25,91.7,62.10,74.2,2020
201,Medical University of Vienna,7142,8.1,30,53.7,33.4,24,90.3,53.00,78.8,2020
201,University of Miami,15971,6.3,16,53.7,44,25,83.2,41.30,59.1,2020
201,Moscow Institute of Physics and Technology,5716,11.2,15,53.7,53.3,46,47.2,99.90,58.7,2020
201,Newcastle University,22691,14.1,27,53.7,31.5,36,85.5,41.70,87.8,2020
201,University of Otago,18196,20,21,53.7,30.2,32,84.7,37.00,89.8,2020
201,University of Padua,45169,21.3,4,53.7,42.5,31,80.2,38.40,45.1,2020
201,Paris-Sud University,28726,14.5,17,53.7,33.7,32,85.9,35.10,65.3,2020
201,Queen’s University Belfast,17747,17.2,36,53.7,31.2,36,83.7,38.70,96.4,2020
201,University of Reading,14107,14.9,31,53.7,32.1,35,76.9,40.30,91.9,2020
201,Royal College of Surgeons in Ireland (RCSI),2265,21.1,65,53.7,30.1,27,90,47.50,93.7,2020
201,"St George’s, University of London",3226,14.7,21,53.7,24,22,98.2,36.90,79.6,2020
201,University of South Florida (Tampa),33885,18.9,14,53.7,30.5,34,87.3,89.00,54.7,2020
201,Tilburg University,8033,21.4,15,53.7,36.8,49,62.1,55.90,78.2,2020
201,University of Twente,7584,13.9,32,53.7,35.2,47,55.6,85.00,90.8,2020
201,Ulsan National Institute of Science and Technology (UNIST),4127,13.9,8,53.7,27.8,39,91.3,80.50,51.9,2020
201,University College Dublin,22541,23.1,29,53.7,30.8,37,73.6,43.90,92.5,2020
201,University of Utah,30365,14.2,8,53.7,39,35,86.4,48.30,33,2020
201,Virginia Polytechnic Institute and State University,32838,18.3,14,53.7,37.5,42,70.9,47.50,54,2020
201,Vita-Salute San Raffaele University,2610,10.7,3,53.7,38.7,22,97.6,35.90,43.1,2020
201,Vrije Universiteit Brussel,11371,28.4,22,53.7,37.4,42,62.7,87.00,75.4,2020
201,Wake Forest University,7675,4,9,53.7,42.8,19,94.1,43.60,31.2,2020
201,University of Waterloo,33519,23.6,20,53.7,35,42,66.3,45.10,84.1,2020
201,Western University,29865,23.1,18,53.7,40.2,36,76.4,59.10,80,2020
201,William & Mary,8235,11.4,9,53.7,47.5,21,87.4,35.30,37.3,2020
201,University of Wollongong,18642,31.5,29,53.7,29.9,35,75.5,55.70,93.4,2020
251,Alfaisal University,2566,10.4,34,50,19.6,21,95,50.40,98.1,2020
251,Auckland University of Technology,18035,17.1,47,50,19.7,18,98,36.70,95.8,2020
251,Autonomous University of Madrid,29576,13.4,14,50,40.1,29,74.5,38.60,51.5,2020
251,University of Bath,13825,16.4,32,50,28.6,31,75.7,37.50,90.3,2020
251,Brighton and Sussex Medical School,879,11.3,15,50,15.9,20,100,34.40,77.7,2020
251,University at Buffalo,25849,17.4,17,50,37.2,33,73.8,42.10,64.7,2020
251,"University of California, Riverside",22272,18,14,50,31.2,30,85.9,39.40,64.7,2020
251,Chalmers University of Technology,9209,12.5,17,50,36.1,42,60,74.10,82.9,2020
251,University of Cincinnati,28434,20.4,9,50,35.5,31,83.9,39.40,40.9,2020
251,Curtin University,29214,20.2,31,50,23.4,30,83.2,44.80,94.2,2020
251,Dalhousie University,15196,14.7,23,50,27.7,30,79.5,44.40,85.4,2020
251,University of Delaware,20566,17,10,50,28.5,38,71.5,90.60,47.2,2020
251,École des Ponts ParisTech,2005,11.3,44,50,39.9,25,73.1,57.50,82.3,2020
251,University of Essex,11923,16.1,39,50,31.6,34,68.6,35.00,96.5,2020
251,Flinders University,16844,25.8,34,50,22.5,30,84.4,37.70,88,2020
251,Florida State University,38520,24.1,7,50,38,40,69.2,39.40,43.5,2020
251,George Mason University,29377,18,10,50,29.9,26,89.5,35.80,46.2,2020
251,Heriot-Watt University,9189,17.2,35,50,28.4,27,75.2,42.00,94,2020
251,Higher School of Economics,22111,13.1,9,50,35.9,37,78.1,56.50,42,2020
251,University of Illinois at Chicago,27031,11.5,20,50,45,33,69.7,43.20,54.9,2020
251,University of Kiel,26412,22.2,8,50,30.6,28,86.8,34.40,54.9,2020
251,La Trobe University,22292,33.9,29,50,27.1,33,73.3,51.30,83.8,2020
251,Laval University,29250,17.3,13,50,40.1,32,67.6,59.60,69.2,2020
251,Macau University of Science and Technology,9924,24.4,79,50,27.1,22,83,34.80,99.6,2020
251,Medical University of Innsbruck,2966,4.3,44,50,30.5,14,89.1,51.50,93.9,2020
251,"National University of Ireland, Galway",13911,26.6,17,50,27.1,30,76.3,42.40,79.8,2020
251,University of Navarra,10833,13,22,50,30.4,28,80.3,85.50,65.1,2020
251,University of Oregon,22143,10.8,12,50,34,29,83.7,34.70,37,2020
251,Oregon Health and Science University,2895,1,3,50,35.7,17,99.7,47.60,26.6,2020
251,University of Oulu,10086,30,6,50,30.3,34,76.4,43.00,54.3,2020
251,University of Passau,11387,86.6,12,50,32.8,39,75.5,47.50,59.1,2020
251,University of Potsdam,20063,53.9,11,50,36.8,41,65.2,56.20,57.4,2020
251,Queen’s University,23306,25.1,13,50,41.5,38,62.6,65.70,66.3,2020
251,"Royal Holloway, University of London",9503,15.2,36,50,30.6,30,73.4,37.10,92.8,2020
251,Ruhr University Bochum,43015,60.5,14,50,39.7,45,57.9,54.50,55,2020
251,University of São Paulo,83214,15.9,4,50,56.4,54,40.6,39.90,33.9,2020
251,Sapienza University of Rome,71318,21.3,6,50,40.4,40,69.8,43.60,40.5,2020
251,Simon Fraser University,26521,27.3,30,50,24.1,36,75.3,47.00,91.1,2020
251,University of South Australia,20268,30.5,25,50,31.5,39,65.8,82.50,89.3,2020
251,University of Southern Denmark,21281,12.1,17,50,21.4,28,85.1,69.70,80.9,2020
251,Stellenbosch University,24308,26.1,8,50,29.5,35,74.4,59.10,54.8,2020
251,University of Stuttgart,26004,45.8,20,50,41.8,45,52.4,61.10,53.1,2020
251,Sun Yat-sen University,53603,16.6,9,50,43.6,36,63.5,56.40,34.9,2020
251,University of Surrey,13125,16,37,50,30.2,34,71.9,46.80,93.7,2020
251,Swansea University,16445,16.7,23,50,21.3,24,93.3,36.80,83.2,2020
251,Syracuse University,20236,15.7,20,50,35.1,30,78.1,35.30,48.7,2020
251,Tampere University,15149,21.8,6,50,26.4,35,81.8,52.60,49.3,2020
251,Technical University of Darmstadt,18166,40.8,17,50,42.4,44,50.4,89.50,57.2,2020
251,Tohoku University,17735,8.2,12,50,52.7,54,39.8,86.40,38.1,2020
251,Tokyo Institute of Technology,9752,7.7,13,50,51.2,52,37.4,69.30,40.5,2020
251,Western Sydney University,32259,35.7,17,50,23.5,29,82.8,40.40,83.7,2020
301,Aix-Marseille University,67857,16.6,12,46.8,41.3,25,67.1,36.80,60.5,2020
301,Anglia Ruskin University,18022,23.1,30,46.8,17.9,14,99.9,35.10,83.7,2020
301,Beijing Normal University,23524,15.4,11,46.8,46.5,40,48.6,57.10,42.9,2020
301,Boston College,12904,15.7,11,46.8,36.7,34,69.2,34.40,42.3,2020
301,University of Canterbury,13089,18,24,46.8,24.3,27,72.7,38.50,93.1,2020
301,Colorado School of Mines,5768,16.7,11,46.8,30.1,25,79.6,46.60,42.1,2020
301,Cyprus University of Technology,3228,17.4,8,46.8,17.2,16,98,35.30,72,2020
